Year,Series,Units,Value
2022,EN_ATM_PM25,GPERM3,10.4
2024,EN_ATM_PM25,GPERM3,8.4
2018,EN_ATM_PM25,GPERM3,9.9
2014,EN_ATM_PM25,GPERM3,9.2
2015,EN_ATM_PM25,GPERM3,10.1
2011,EN_ATM_PM25,GPERM3,11.1
2010,EN_ATM_PM25,GPERM3,11.3
2012,EN_ATM_PM25,GPERM3,10.1
2023,EN_ATM_PM25,GPERM3,9.5
2017,EN_ATM_PM25,GPERM3,9.8
2021,EN_ATM_PM25,GPERM3,10
2016,EN_ATM_PM25,GPERM3,8.6
2020,EN_ATM_PM25,GPERM3,8.8
2019,EN_ATM_PM25,GPERM3,9
2013,EN_ATM_PM25,GPERM3,10.5
2010,EU_EN_ATM_PM10,GPERM3,24.2
2011,EU_EN_ATM_PM10,GPERM3,27
2012,EU_EN_ATM_PM10,GPERM3,26.7
2014,EU_EN_ATM_PM10,GPERM3,17.4
2015,EU_EN_ATM_PM10,GPERM3,17.9
2016,EU_EN_ATM_PM10,GPERM3,15.3
2013,EU_EN_ATM_PM10,GPERM3,15.9
2017,EU_EN_ATM_PM10,GPERM3,17.9
2021,EU_EN_ATM_PM10,GPERM3,16.1
2018,EU_EN_ATM_PM10,GPERM3,16.7
2019,EU_EN_ATM_PM10,GPERM3,16.3
2020,EU_EN_ATM_PM10,GPERM3,15.6
2022,EU_EN_ATM_PM10,GPERM3,17.7
2023,EU_EN_ATM_PM10,GPERM3,16.4
2024,EU_EN_ATM_PM10,GPERM3,14.6
