Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value,Progress
2019,GF_XPD_GBPC,,,,PT,,102.16,102.16
2020,GF_XPD_GBPC,,,,PT,,100.05,100.05
2017,GF_XPD_GBPC,,,,PT,,97.87,102.13
2022,GF_XPD_GBPC,,,,PT,,104.68,104.68
2021,GF_XPD_GBPC,,,,PT,,102.22,102.22
2018,GF_XPD_GBPC,,,,PT,,98.53,101.47
2023,GF_XPD_GBPC,,,,PT,,101.1,101.1
2016,GF_XPD_GBPC,,,,PT,,94.8,105.2
2023,EU_XPD_LOCALGBPC,,,,PT,,103.31,103.31
2010,EU_XPD_LOCALGBPC,,,,PT,,110.23,110.23
2016,EU_XPD_LOCALGBPC,,,,PT,,97.37,102.63
2021,EU_XPD_LOCALGBPC,,,,PT,,99.22,100.78
2017,EU_XPD_LOCALGBPC,,,,PT,,96.78,103.22
2011,EU_XPD_LOCALGBPC,,,,PT,,100.45,100.45
2020,EU_XPD_LOCALGBPC,,,,PT,,93.84,106.16
2014,EU_XPD_LOCALGBPC,,,,PT,,98.47,101.53
2022,EU_XPD_LOCALGBPC,,,,PT,,100.26,100.26
2019,EU_XPD_LOCALGBPC,,,,PT,,100.27,100.27
2015,EU_XPD_LOCALGBPC,,,,PT,,98.05,101.95
2013,EU_XPD_LOCALGBPC,,,,PT,,100.2,100.2
2012,EU_XPD_LOCALGBPC,,,,PT,,93.03,106.97
2018,EU_XPD_LOCALGBPC,,,,PT,,97.17,102.83
2015,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,95.83,104.17
2010,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,94.09,105.91
2013,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,93.98,106.02
2021,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,93.28,106.72
2018,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,97.77,102.23
2016,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,98.95,101.05
2014,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,112.36,112.36
2023,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,109.33,109.33
2019,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,107.01,107.01
2020,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,83.11,116.89
2011,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,103.15,103.15
2017,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,94.77,105.23
2022,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,120.7,120.7
2012,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,92.13,107.87
2014,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,116.37,116.37
2022,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,100.95,100.95
2018,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,148.95,148.95
2023,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,99.12,100.88
2021,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,106.61,106.61
2012,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,72.94,127.06
2015,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,120.05,120.05
2019,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,102.68,102.68
2010,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,78.58,121.42
2013,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,168.2,168.2
2016,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,112.42,112.42
2020,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,145.46,145.46
2011,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,97.83,102.17
2017,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,87.58,112.42
2021,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,92.53,107.47
2012,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,97.55,102.45
2015,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,110.54,110.54
2010,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,94.43,105.57
2022,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.44,101.44
2023,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,96.56,103.44
2014,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,95.33,104.67
2011,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,105.97,105.97
2019,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.5,100.5
2018,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.15,100.15
2013,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,95.39,104.61
2017,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.34,101.34
2016,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.47,101.47
