Year,Series,Institucion,Territorio,Units,Value,Progress
2022,SG_DMK_PARLMP_LC,,,RO,1.01,1.01
2015,SG_DMK_PARLMP_LC,,,RO,0.99,1.01
2019,SG_DMK_PARLMP_LC,,,RO,1.07,1.07
2012,SG_DMK_PARLMP_LC,,,RO,0.99,1.01
2016,SG_DMK_PARLMP_LC,,,RO,1.07,1.07
2010,SG_DMK_PARLMP_LC,,,RO,0.91,1.0899999999999999
2023,SG_DMK_PARLMP_LC,,,RO,0.99,1.01
2011,SG_DMK_PARLMP_LC,,,RO,0.91,1.0899999999999999
2020,SG_DMK_PARLMP_LC,,,RO,1.01,1.01
2014,SG_DMK_PARLMP_LC,,,RO,0.99,1.01
2021,SG_DMK_PARLMP_LC,,,RO,1.01,1.01
2017,SG_DMK_PARLMP_LC,,,RO,1.07,1.07
2018,SG_DMK_PARLMP_LC,,,RO,1.07,1.07
2013,SG_DMK_PARLMP_LC,,,RO,0.99,1.01
2015,SG_DMK_PSRVC,,,RO,1.16,1.16
2013,SG_DMK_PSRVC,,,RO,1.15,1.15
2020,SG_DMK_PSRVC,,,RO,1.22,1.22
2023,SG_DMK_PSRVC,,,RO,1.29,1.29
2014,SG_DMK_PSRVC,,,RO,1.16,1.16
2019,SG_DMK_PSRVC,,,RO,1.21,1.21
2022,SG_DMK_PSRVC,,,RO,1.23,1.23
2018,SG_DMK_PSRVC,,,RO,1.16,1.16
2021,SG_DMK_PSRVC,,,RO,1.23,1.23
2011,SG_DMK_PSRVC,,,RO,1.12,1.12
2017,SG_DMK_PSRVC,,,RO,1.19,1.19
2016,SG_DMK_PSRVC,,,RO,1.17,1.17
2012,SG_DMK_PSRVC,,,RO,1.14,1.14
2024,SG_DMK_PSRVC,,,RO,1.3,1.3
2010,SG_DMK_PSRVC,,,RO,1.13,1.13
2013,SG_DMK_PSRVC,,ES211,RO,1.19,1.19
2024,SG_DMK_PSRVC,,ES211,RO,1.28,1.28
2010,SG_DMK_PSRVC,,ES211,RO,1.16,1.16
2012,SG_DMK_PSRVC,,ES211,RO,1.18,1.18
2016,SG_DMK_PSRVC,,ES211,RO,1.21,1.21
2019,SG_DMK_PSRVC,,ES211,RO,1.24,1.24
2022,SG_DMK_PSRVC,,ES211,RO,1.27,1.27
2021,SG_DMK_PSRVC,,ES211,RO,1.25,1.25
2023,SG_DMK_PSRVC,,ES211,RO,1.28,1.28
2011,SG_DMK_PSRVC,,ES211,RO,1.16,1.16
2017,SG_DMK_PSRVC,,ES211,RO,1.22,1.22
2014,SG_DMK_PSRVC,,ES211,RO,1.2,1.2
2020,SG_DMK_PSRVC,,ES211,RO,1.24,1.24
2015,SG_DMK_PSRVC,,ES211,RO,1.2,1.2
2018,SG_DMK_PSRVC,,ES211,RO,1.22,1.22
2015,SG_DMK_PSRVC,,ES213,RO,1.14,1.14
2010,SG_DMK_PSRVC,,ES213,RO,1.11,1.11
2024,SG_DMK_PSRVC,,ES213,RO,1.29,1.29
2013,SG_DMK_PSRVC,,ES213,RO,1.12,1.12
2011,SG_DMK_PSRVC,,ES213,RO,1.1,1.1
2016,SG_DMK_PSRVC,,ES213,RO,1.14,1.14
2017,SG_DMK_PSRVC,,ES213,RO,1.17,1.17
2020,SG_DMK_PSRVC,,ES213,RO,1.2,1.2
2021,SG_DMK_PSRVC,,ES213,RO,1.21,1.21
2022,SG_DMK_PSRVC,,ES213,RO,1.21,1.21
2019,SG_DMK_PSRVC,,ES213,RO,1.19,1.19
2023,SG_DMK_PSRVC,,ES213,RO,1.29,1.29
2018,SG_DMK_PSRVC,,ES213,RO,1.12,1.12
2012,SG_DMK_PSRVC,,ES213,RO,1.11,1.11
2014,SG_DMK_PSRVC,,ES213,RO,1.13,1.13
2024,SG_DMK_PSRVC,,ES212,RO,1.32,1.32
2019,SG_DMK_PSRVC,,ES212,RO,1.23,1.23
2010,SG_DMK_PSRVC,,ES212,RO,1.15,1.15
2014,SG_DMK_PSRVC,,ES212,RO,1.17,1.17
2015,SG_DMK_PSRVC,,ES212,RO,1.18,1.18
2012,SG_DMK_PSRVC,,ES212,RO,1.17,1.17
2011,SG_DMK_PSRVC,,ES212,RO,1.14,1.14
2017,SG_DMK_PSRVC,,ES212,RO,1.21,1.21
2016,SG_DMK_PSRVC,,ES212,RO,1.19,1.19
2023,SG_DMK_PSRVC,,ES212,RO,1.31,1.31
2020,SG_DMK_PSRVC,,ES212,RO,1.24,1.24
2022,SG_DMK_PSRVC,,ES212,RO,1.23,1.23
2021,SG_DMK_PSRVC,,ES212,RO,1.25,1.25
2013,SG_DMK_PSRVC,,ES212,RO,1.18,1.18
2018,SG_DMK_PSRVC,,ES212,RO,1.17,1.17
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.32,1.32
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.4,1.4
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33,1.33
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34,1.34
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.3,1.3
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33,1.33
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34,1.34
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33,1.33
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34,1.34
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31,1.31
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.36,1.36
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.43,1.43
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31,1.31
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.35,1.35
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.37,1.37
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31,1.31
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31,1.31
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32,1.32
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.33,1.33
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32,1.32
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32,1.32
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29,1.29
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31,1.31
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29,1.29
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.28,1.28
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.34,1.34
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.41,1.41
