Year,Series,Sexo,Territorio,Units,Value,Progress
2018,SL_DOM_TSPD,,,MN,161,1.9174311926605505
2023,SL_DOM_TSPD,,,MN,161,1.4615384615384615
2013,SL_DOM_TSPD,,,MN,173,1.8983050847457628
2018,SL_DOM_TSPD,,ES211,MN,166,1.9174311926605505
2023,SL_DOM_TSPD,,ES211,MN,161,1.4615384615384615
2013,SL_DOM_TSPD,,ES211,MN,175,1.8983050847457628
2018,SL_DOM_TSPD,,ES213,MN,160,1.9174311926605505
2023,SL_DOM_TSPD,,ES213,MN,164,1.4615384615384615
2013,SL_DOM_TSPD,,ES213,MN,176,1.8983050847457628
2018,SL_DOM_TSPD,,ES212,MN,158,1.9174311926605505
2013,SL_DOM_TSPD,,ES212,MN,166,1.8983050847457628
2023,SL_DOM_TSPD,,ES212,MN,157,1.4615384615384615
2013,SL_DOM_TSPD,F,,MN,224,
2023,SL_DOM_TSPD,F,,MN,190,
2018,SL_DOM_TSPD,F,,MN,209,
2023,SL_DOM_TSPD,F,ES211,MN,197,
2013,SL_DOM_TSPD,F,ES211,MN,223,
2018,SL_DOM_TSPD,F,ES211,MN,217,
2013,SL_DOM_TSPD,F,ES213,MN,229,
2018,SL_DOM_TSPD,F,ES213,MN,208,
2023,SL_DOM_TSPD,F,ES213,MN,190,
2018,SL_DOM_TSPD,F,ES212,MN,206,
2013,SL_DOM_TSPD,F,ES212,MN,217,
2023,SL_DOM_TSPD,F,ES212,MN,187,
2018,SL_DOM_TSPD,M,,MN,109,
2013,SL_DOM_TSPD,M,,MN,118,
2023,SL_DOM_TSPD,M,,MN,130,
2018,SL_DOM_TSPD,M,ES211,MN,111,
2023,SL_DOM_TSPD,M,ES211,MN,122,
2013,SL_DOM_TSPD,M,ES211,MN,127,
2013,SL_DOM_TSPD,M,ES213,MN,118,
2023,SL_DOM_TSPD,M,ES213,MN,135,
2018,SL_DOM_TSPD,M,ES213,MN,108,
2013,SL_DOM_TSPD,M,ES212,MN,113,
2018,SL_DOM_TSPD,M,ES212,MN,108,
2023,SL_DOM_TSPD,M,ES212,MN,125,
2013,EU_SL_DOM_TSPD_RATIO,,,RO,1.9,1.8983050847457628
2023,EU_SL_DOM_TSPD_RATIO,,,RO,1.5,1.4615384615384615
2018,EU_SL_DOM_TSPD_RATIO,,,RO,1.9,1.9174311926605505
2018,EU_SL_DOM_TSPD_RATIO,,ES211,RO,2,1.9174311926605505
2023,EU_SL_DOM_TSPD_RATIO,,ES211,RO,1.6,1.4615384615384615
2013,EU_SL_DOM_TSPD_RATIO,,ES211,RO,1.8,1.8983050847457628
2023,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.4,1.4615384615384615
2013,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.9,1.8983050847457628
2018,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.9,1.9174311926605505
2023,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.5,1.4615384615384615
2013,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.9,1.8983050847457628
2018,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.9,1.9174311926605505
