Year,Series,Territorio,Units,Value,Progress
2010,GEN_PARL,,PT,45.3,54.7
2014,GEN_PARL,,PT,49.3,50.7
2023,GEN_PARL,,PT,49.3,50.7
2016,GEN_PARL,,PT,53.3,53.3
2021,GEN_PARL,,PT,50.7,50.7
2024,GEN_PARL,,PT,52,52.0
2017,GEN_PARL,,PT,53.3,53.3
2011,GEN_PARL,,PT,45.3,54.7
2022,GEN_PARL,,PT,50.7,50.7
2015,GEN_PARL,,PT,49.3,50.7
2020,GEN_PARL,,PT,50.7,50.7
2012,GEN_PARL,,PT,49.3,50.7
2019,GEN_PARL,,PT,53.3,53.3
2025,GEN_PARL,,PT,53.3,53.3
2013,GEN_PARL,,PT,49.3,50.7
2018,GEN_PARL,,PT,53.3,53.3
2022,GEN_G,,PT,45.5,54.5
2013,GEN_G,,PT,50,50.0
2011,GEN_G,,PT,50,50.0
2025,GEN_G,,PT,46.7,53.3
2019,GEN_G,,PT,63.6,63.6
2014,GEN_G,,PT,50,50.0
2018,GEN_G,,PT,41.7,58.3
2017,GEN_G,,PT,41.7,58.3
2021,GEN_G,,PT,45.5,54.5
2020,GEN_G,,PT,45.5,54.5
2023,GEN_G,,PT,45.5,54.5
2012,GEN_G,,PT,50,50.0
2016,GEN_G,,PT,50,50.0
2024,GEN_G,,PT,46.7,53.3
2015,GEN_G,,PT,50,50.0
2010,GEN_G,,PT,45.5,54.5
2021,GEN_REGIOPARL,,PT,54.2,54.2
2018,GEN_REGIOPARL,,PT,48.1,51.9
2012,GEN_REGIOPARL,,PT,48.4,51.6
2015,GEN_REGIOPARL,,PT,48.1,51.9
2022,GEN_REGIOPARL,,PT,54.2,54.2
2014,GEN_REGIOPARL,,PT,48.4,51.6
2020,GEN_REGIOPARL,,PT,54.2,54.2
2016,GEN_REGIOPARL,,PT,48.1,51.9
2025,GEN_REGIOPARL,,PT,44.4,55.6
2013,GEN_REGIOPARL,,PT,48.4,51.6
2011,GEN_REGIOPARL,,PT,48.4,51.6
2024,GEN_REGIOPARL,,PT,48.4,51.6
2023,GEN_REGIOPARL,,PT,48.4,51.6
2010,GEN_REGIOPARL,,PT,41.2,58.8
2017,GEN_REGIOPARL,,PT,48.1,51.9
2019,GEN_REGIOPARL,,PT,54.2,54.2
2018,GEN_REGIOPARL,ES211,PT,45.1,54.9
2020,GEN_REGIOPARL,ES211,PT,56.9,56.9
2025,GEN_REGIOPARL,ES211,PT,43.1,56.9
2014,GEN_REGIOPARL,ES211,PT,51,51.0
2024,GEN_REGIOPARL,ES211,PT,43.2,56.8
2023,GEN_REGIOPARL,ES211,PT,43.2,56.8
2016,GEN_REGIOPARL,ES211,PT,45.1,54.9
2022,GEN_REGIOPARL,ES211,PT,56.9,56.9
2021,GEN_REGIOPARL,ES211,PT,56.9,56.9
2019,GEN_REGIOPARL,ES211,PT,56.9,56.9
2017,GEN_REGIOPARL,ES211,PT,45.1,54.9
2015,GEN_REGIOPARL,ES211,PT,45.1,54.9
2013,GEN_REGIOPARL,ES211,PT,51,51.0
2011,GEN_REGIOPARL,ES211,PT,51,51.0
2012,GEN_REGIOPARL,ES211,PT,51,51.0
2010,GEN_REGIOPARL,ES211,PT,41.2,58.8
2014,GEN_REGIOPARL,ES212,PT,49,51.0
2012,GEN_REGIOPARL,ES212,PT,49,51.0
2016,GEN_REGIOPARL,ES212,PT,50,50.0
2015,GEN_REGIOPARL,ES212,PT,50,50.0
2018,GEN_REGIOPARL,ES212,PT,50,50.0
2019,GEN_REGIOPARL,ES212,PT,54.9,54.9
2020,GEN_REGIOPARL,ES212,PT,54.9,54.9
2021,GEN_REGIOPARL,ES212,PT,54.9,54.9
2023,GEN_REGIOPARL,ES212,PT,54.7,54.7
2024,GEN_REGIOPARL,ES212,PT,54.7,54.7
2025,GEN_REGIOPARL,ES212,PT,43.1,56.9
2022,GEN_REGIOPARL,ES212,PT,54.9,54.9
2017,GEN_REGIOPARL,ES212,PT,50,50.0
2013,GEN_REGIOPARL,ES212,PT,49,51.0
2011,GEN_REGIOPARL,ES212,PT,49,51.0
2010,GEN_REGIOPARL,ES212,PT,43.1,56.9
2016,GEN_REGIOPARL,ES213,PT,49,51.0
2018,GEN_REGIOPARL,ES213,PT,49,51.0
2014,GEN_REGIOPARL,ES213,PT,45.1,54.9
2025,GEN_REGIOPARL,ES213,PT,47.1,52.9
2020,GEN_REGIOPARL,ES213,PT,51,51.0
2019,GEN_REGIOPARL,ES213,PT,51,51.0
2017,GEN_REGIOPARL,ES213,PT,49,51.0
2015,GEN_REGIOPARL,ES213,PT,49,51.0
2013,GEN_REGIOPARL,ES213,PT,45.1,54.9
2011,GEN_REGIOPARL,ES213,PT,45.1,54.9
2012,GEN_REGIOPARL,ES213,PT,45.1,54.9
2010,GEN_REGIOPARL,ES213,PT,39.2,60.8
2024,GEN_REGIOPARL,ES213,PT,46.4,53.6
2023,GEN_REGIOPARL,ES213,PT,46.4,53.6
2022,GEN_REGIOPARL,ES213,PT,51,51.0
2021,GEN_REGIOPARL,ES213,PT,51,51.0
2023,GEN_REGIOG,,PT,66.7,66.7
2022,GEN_REGIOG,,PT,51.7,51.7
2021,GEN_REGIOG,,PT,55.2,55.2
2019,GEN_REGIOG,,PT,55.2,55.2
2018,GEN_REGIOG,,PT,50,50.0
2017,GEN_REGIOG,,PT,50,50.0
2015,GEN_REGIOG,,PT,50,50.0
2014,GEN_REGIOG,,PT,42.3,57.7
2013,GEN_REGIOG,,PT,42.3,57.7
2012,GEN_REGIOG,,PT,42.3,57.7
2011,GEN_REGIOG,,PT,42.3,57.7
2010,GEN_REGIOG,,PT,36.4,63.6
2016,GEN_REGIOG,,PT,50,50.0
2020,GEN_REGIOG,,PT,55.2,55.2
2024,GEN_REGIOG,,PT,66.7,66.7
2025,GEN_REGIOG,,PT,66.7,66.7
2025,GEN_REGIOG,ES211,PT,60,60.0
2024,GEN_REGIOG,ES211,PT,50,50.0
2023,GEN_REGIOG,ES211,PT,50,50.0
2022,GEN_REGIOG,ES211,PT,55.6,55.6
2021,GEN_REGIOG,ES211,PT,66.7,66.7
2020,GEN_REGIOG,ES211,PT,66.7,66.7
2019,GEN_REGIOG,ES211,PT,66.7,66.7
2018,GEN_REGIOG,ES211,PT,50,50.0
2017,GEN_REGIOG,ES211,PT,50,50.0
2016,GEN_REGIOG,ES211,PT,50,50.0
2015,GEN_REGIOG,ES211,PT,50,50.0
2014,GEN_REGIOG,ES211,PT,50,50.0
2013,GEN_REGIOG,ES211,PT,50,50.0
