Year,Series,Territorio,Units,Value
2011,IC_GEN_MGTL,,PT,31.7
2023,IC_GEN_MGTL,,PT,33.9
2021,IC_GEN_MGTL,,PT,32.3
2014,IC_GEN_MGTL,,PT,28.7
2022,IC_GEN_MGTL,,PT,32.3
2016,IC_GEN_MGTL,,PT,34.7
2017,IC_GEN_MGTL,,PT,35.6
2020,IC_GEN_MGTL,,PT,31.8
2012,IC_GEN_MGTL,,PT,29
2010,IC_GEN_MGTL,,PT,28.8
2019,IC_GEN_MGTL,,PT,34.3
2013,IC_GEN_MGTL,,PT,31.3
2024,IC_GEN_MGTL,,PT,34.5
2015,IC_GEN_MGTL,,PT,36.7
2018,IC_GEN_MGTL,,PT,35.8
2023,IC_GEN_MGTL,ES211,PT,36.5
2024,IC_GEN_MGTL,ES211,PT,37.6
2020,IC_GEN_MGTL,ES211,PT,27
2015,IC_GEN_MGTL,ES211,PT,35.2
2013,IC_GEN_MGTL,ES211,PT,29.3
2021,IC_GEN_MGTL,ES211,PT,28.8
2019,IC_GEN_MGTL,ES211,PT,28.4
2011,IC_GEN_MGTL,ES211,PT,25.8
2014,IC_GEN_MGTL,ES211,PT,26.5
2022,IC_GEN_MGTL,ES211,PT,31.3
2010,IC_GEN_MGTL,ES211,PT,28.4
2016,IC_GEN_MGTL,ES211,PT,27.6
2012,IC_GEN_MGTL,ES211,PT,24.8
2017,IC_GEN_MGTL,ES211,PT,36.2
2018,IC_GEN_MGTL,ES211,PT,39.4
2013,IC_GEN_MGTL,ES213,PT,30.6
2017,IC_GEN_MGTL,ES213,PT,35.5
2014,IC_GEN_MGTL,ES213,PT,26.8
2020,IC_GEN_MGTL,ES213,PT,31.5
2019,IC_GEN_MGTL,ES213,PT,35.3
2024,IC_GEN_MGTL,ES213,PT,33.6
2018,IC_GEN_MGTL,ES213,PT,35.5
2015,IC_GEN_MGTL,ES213,PT,37.1
2016,IC_GEN_MGTL,ES213,PT,34.7
2010,IC_GEN_MGTL,ES213,PT,30.4
2023,IC_GEN_MGTL,ES213,PT,35.7
2012,IC_GEN_MGTL,ES213,PT,29.4
2022,IC_GEN_MGTL,ES213,PT,34.5
2011,IC_GEN_MGTL,ES213,PT,33.2
2021,IC_GEN_MGTL,ES213,PT,30.2
2019,IC_GEN_MGTL,ES212,PT,34.7
2017,IC_GEN_MGTL,ES212,PT,35.4
2022,IC_GEN_MGTL,ES212,PT,29.8
2015,IC_GEN_MGTL,ES212,PT,36.6
2018,IC_GEN_MGTL,ES212,PT,35
2014,IC_GEN_MGTL,ES212,PT,32.5
2011,IC_GEN_MGTL,ES212,PT,31
2010,IC_GEN_MGTL,ES212,PT,26.4
2013,IC_GEN_MGTL,ES212,PT,33.3
2016,IC_GEN_MGTL,ES212,PT,38.6
2020,IC_GEN_MGTL,ES212,PT,34.3
2021,IC_GEN_MGTL,ES212,PT,37
2023,IC_GEN_MGTL,ES212,PT,30.3
2012,IC_GEN_MGTL,ES212,PT,30.4
2024,IC_GEN_MGTL,ES212,PT,34.8
