Year,Series,Sex,Province,Units,Value
2017,EU_SDG_11_52_NR,,,NR,594.0
2023,EU_SDG_11_52_PER_100000,,,"Per 100,000",27.8
2016,EU_SDG_11_52_PER_100000,,,"Per 100,000",27.2
2018,EU_SDG_11_52_NR,,,NR,836.0
2022,EU_SDG_11_52_PER_100000,,,"Per 100,000",37.1
2021,EU_SDG_11_52_NR,,,NR,607.0
2021,EU_SDG_11_52_PER_100000,,,"Per 100,000",30.0
2016,EU_SDG_11_52_NR,,,NR,560.0
2022,EU_SDG_11_52_NR,,,NR,750.0
2019,EU_SDG_11_52_PER_100000,,,"Per 100,000",31.3
2019,EU_SDG_11_52_NR,,,NR,636.0
2023,EU_SDG_11_52_NR,,,NR,569.0
2015,EU_SDG_11_52_PER_100000,,,"Per 100,000",39.5
2020,EU_SDG_11_52_PER_100000,,,"Per 100,000",29.9
2017,EU_SDG_11_52_PER_100000,,,"Per 100,000",29.0
2020,EU_SDG_11_52_NR,,,NR,606.0
2015,EU_SDG_11_52_NR,,,NR,821.0
2018,EU_SDG_11_52_PER_100000,,,"Per 100,000",41.1
2015,EU_SDG_11_52_NR,,Araba/Álava,NR,115.0
2017,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",23.7
2020,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",26.3
2015,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",34.8
2018,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",35.5
2016,EU_SDG_11_52_NR,,Araba/Álava,NR,79.0
2020,EU_SDG_11_52_NR,,Araba/Álava,NR,90.0
2021,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",23.0
2023,EU_SDG_11_52_NR,,Araba/Álava,NR,73.0
2017,EU_SDG_11_52_NR,,Araba/Álava,NR,79.0
2021,EU_SDG_11_52_NR,,Araba/Álava,NR,79.0
2019,EU_SDG_11_52_NR,,Araba/Álava,NR,91.0
2018,EU_SDG_11_52_NR,,Araba/Álava,NR,119.0
2023,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",21.0
2022,EU_SDG_11_52_NR,,Araba/Álava,NR,108.0
2019,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",26.9
2022,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",31.4
2016,EU_SDG_11_52_PER_100000,,Araba/Álava,"Per 100,000",23.9
2023,EU_SDG_11_52_NR,,Bizkaia,NR,367.0
2019,EU_SDG_11_52_NR,,Bizkaia,NR,381.0
2017,EU_SDG_11_52_NR,,Bizkaia,NR,377.0
2016,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",33.2
2020,EU_SDG_11_52_NR,,Bizkaia,NR,381.0
2023,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",34.6
2018,EU_SDG_11_52_NR,,Bizkaia,NR,488.0
2021,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",36.7
2017,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",35.4
2021,EU_SDG_11_52_NR,,Bizkaia,NR,384.0
2020,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",36.2
2015,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",45.5
2018,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",46.1
2016,EU_SDG_11_52_NR,,Bizkaia,NR,357.0
2019,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",36.2
2022,EU_SDG_11_52_NR,,Bizkaia,NR,456.0
2015,EU_SDG_11_52_NR,,Bizkaia,NR,494.0
2022,EU_SDG_11_52_PER_100000,,Bizkaia,"Per 100,000",43.5
2016,EU_SDG_11_52_NR,,Gipuzkoa,NR,122.0
2015,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",31.9
2017,EU_SDG_11_52_NR,,Gipuzkoa,NR,136.0
2023,EU_SDG_11_52_NR,,Gipuzkoa,NR,129.0
2022,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",29.3
2015,EU_SDG_11_52_NR,,Gipuzkoa,NR,211.0
2017,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",21.0
2020,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",21.1
2019,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",25.6
2018,EU_SDG_11_52_NR,,Gipuzkoa,NR,228.0
2020,EU_SDG_11_52_NR,,Gipuzkoa,NR,134.0
2019,EU_SDG_11_52_NR,,Gipuzkoa,NR,163.0
2018,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",35.5
2021,EU_SDG_11_52_NR,,Gipuzkoa,NR,142.0
2023,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",20.2
2022,EU_SDG_11_52_NR,,Gipuzkoa,NR,185.0
2016,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",18.7
2021,EU_SDG_11_52_PER_100000,,Gipuzkoa,"Per 100,000",22.5
2021,EU_SDG_11_52_NR,Female,,NR,299.0
2021,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",14.5
2015,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",19.5
2023,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",13.6
2016,EU_SDG_11_52_NR,Female,,NR,278.0
2020,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",14.7
2016,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",13.3
2022,EU_SDG_11_52_NR,Female,,NR,376.0
2017,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",14.3
2022,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",18.2
2018,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",20.2
2018,EU_SDG_11_52_NR,Female,,NR,418.0
2023,EU_SDG_11_52_NR,Female,,NR,285.0
2020,EU_SDG_11_52_NR,Female,,NR,303.0
2019,EU_SDG_11_52_NR,Female,,NR,317.0
2019,EU_SDG_11_52_PER_100000,Female,,"Per 100,000",15.3
2017,EU_SDG_11_52_NR,Female,,NR,298.0
2015,EU_SDG_11_52_NR,Female,,NR,411.0
2020,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",12.9
2021,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",11.2
2022,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",15.4
2017,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",11.8
2017,EU_SDG_11_52_NR,Female,Araba/Álava,NR,40.0
2022,EU_SDG_11_52_NR,Female,Araba/Álava,NR,54.0
2015,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",17.0
2023,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",10.1
2016,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",11.6
2015,EU_SDG_11_52_NR,Female,Araba/Álava,NR,57.0
2016,EU_SDG_11_52_NR,Female,Araba/Álava,NR,39.0
2018,EU_SDG_11_52_NR,Female,Araba/Álava,NR,59.0
2019,EU_SDG_11_52_NR,Female,Araba/Álava,NR,45.0
2019,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",13.1
2018,EU_SDG_11_52_PER_100000,Female,Araba/Álava,"Per 100,000",17.3
2020,EU_SDG_11_52_NR,Female,Araba/Álava,NR,45.0
2021,EU_SDG_11_52_NR,Female,Araba/Álava,NR,39.0
2023,EU_SDG_11_52_NR,Female,Araba/Álava,NR,36.0
2015,EU_SDG_11_52_NR,Female,Bizkaia,NR,247.0
2018,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",22.6
2019,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",17.7
2023,EU_SDG_11_52_NR,Female,Bizkaia,NR,183.0
2021,EU_SDG_11_52_NR,Female,Bizkaia,NR,189.0
2017,EU_SDG_11_52_NR,Female,Bizkaia,NR,189.0
2018,EU_SDG_11_52_NR,Female,Bizkaia,NR,244.0
2020,EU_SDG_11_52_NR,Female,Bizkaia,NR,190.0
2022,EU_SDG_11_52_NR,Female,Bizkaia,NR,228.0
2015,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",22.4
2016,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",16.2
2017,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",17.4
2020,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",17.7
2021,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",17.7
2022,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",21.3
2016,EU_SDG_11_52_NR,Female,Bizkaia,NR,177.0
2019,EU_SDG_11_52_NR,Female,Bizkaia,NR,190.0
2023,EU_SDG_11_52_PER_100000,Female,Bizkaia,"Per 100,000",16.9
2022,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",14.4
2017,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",10.3
2023,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",9.8
2015,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,106.0
2020,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",10.4
2016,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,61.0
2018,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,114.0
2018,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",17.4
2020,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,67.0
2017,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,68.0
2021,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,70.0
2019,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,81.0
2023,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,64.0
2022,EU_SDG_11_52_NR,Female,Gipuzkoa,NR,93.0
2015,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",15.7
2016,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",9.2
2019,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",12.5
2021,EU_SDG_11_52_PER_100000,Female,Gipuzkoa,"Per 100,000",10.9
2018,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",20.9
2017,EU_SDG_11_52_NR,Male,,NR,296.0
2023,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",14.1
2019,EU_SDG_11_52_NR,Male,,NR,319.0
2016,EU_SDG_11_52_NR,Male,,NR,281.0
2017,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",14.7
2016,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",13.9
2022,EU_SDG_11_52_NR,Male,,NR,373.0
2015,EU_SDG_11_52_NR,Male,,NR,410.0
2020,EU_SDG_11_52_NR,Male,,NR,303.0
2015,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",20.1
2019,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",16.0
2021,EU_SDG_11_52_NR,Male,,NR,308.0
2021,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",15.5
2023,EU_SDG_11_52_NR,Male,,NR,284.0
2018,EU_SDG_11_52_NR,Male,,NR,417.0
2022,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",18.8
2020,EU_SDG_11_52_PER_100000,Male,,"Per 100,000",15.2
2022,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",16.0
2018,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",17.9
2015,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",17.6
2023,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",10.6
2019,EU_SDG_11_52_NR,Male,Araba/Álava,NR,45.0
2021,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",11.9
2023,EU_SDG_11_52_NR,Male,Araba/Álava,NR,36.0
2016,EU_SDG_11_52_PER_100000,Male,Araba/Álava,"Per 100,000",12.3
