Year,Series,Sex,Province,Units,Progress,Value
2018,Time devoted to home and family care on an average day,,,Minutes,1.9174311926605505,161.0
2023,Time devoted to home and family care on an average day,,,Minutes,1.4615384615384617,161.0
2013,Time devoted to home and family care on an average day,,,Minutes,1.8983050847457628,173.0
2018,Time devoted to home and family care on an average day,,Araba/Álava,Minutes,1.9174311926605505,166.0
2023,Time devoted to home and family care on an average day,,Araba/Álava,Minutes,1.4615384615384617,161.0
2013,Time devoted to home and family care on an average day,,Araba/Álava,Minutes,1.8983050847457628,175.0
2018,Time devoted to home and family care on an average day,,Bizkaia,Minutes,1.9174311926605505,160.0
2023,Time devoted to home and family care on an average day,,Bizkaia,Minutes,1.4615384615384617,164.0
2013,Time devoted to home and family care on an average day,,Bizkaia,Minutes,1.8983050847457628,176.0
2018,Time devoted to home and family care on an average day,,Gipuzkoa,Minutes,1.9174311926605505,158.0
2013,Time devoted to home and family care on an average day,,Gipuzkoa,Minutes,1.8983050847457628,166.0
2023,Time devoted to home and family care on an average day,,Gipuzkoa,Minutes,1.4615384615384617,157.0
2013,Time devoted to home and family care on an average day,Female,,Minutes,,224.0
2023,Time devoted to home and family care on an average day,Female,,Minutes,,190.0
2018,Time devoted to home and family care on an average day,Female,,Minutes,,209.0
2023,Time devoted to home and family care on an average day,Female,Araba/Álava,Minutes,,197.0
2013,Time devoted to home and family care on an average day,Female,Araba/Álava,Minutes,,223.0
2018,Time devoted to home and family care on an average day,Female,Araba/Álava,Minutes,,217.0
2013,Time devoted to home and family care on an average day,Female,Bizkaia,Minutes,,229.0
2018,Time devoted to home and family care on an average day,Female,Bizkaia,Minutes,,208.0
2023,Time devoted to home and family care on an average day,Female,Bizkaia,Minutes,,190.0
2018,Time devoted to home and family care on an average day,Female,Gipuzkoa,Minutes,,206.0
2013,Time devoted to home and family care on an average day,Female,Gipuzkoa,Minutes,,217.0
2023,Time devoted to home and family care on an average day,Female,Gipuzkoa,Minutes,,187.0
2018,Time devoted to home and family care on an average day,Male,,Minutes,,109.0
2013,Time devoted to home and family care on an average day,Male,,Minutes,,118.0
2023,Time devoted to home and family care on an average day,Male,,Minutes,,130.0
2018,Time devoted to home and family care on an average day,Male,Araba/Álava,Minutes,,111.0
2023,Time devoted to home and family care on an average day,Male,Araba/Álava,Minutes,,122.0
2013,Time devoted to home and family care on an average day,Male,Araba/Álava,Minutes,,127.0
2013,Time devoted to home and family care on an average day,Male,Bizkaia,Minutes,,118.0
2023,Time devoted to home and family care on an average day,Male,Bizkaia,Minutes,,135.0
2018,Time devoted to home and family care on an average day,Male,Bizkaia,Minutes,,108.0
2013,Time devoted to home and family care on an average day,Male,Gipuzkoa,Minutes,,113.0
2018,Time devoted to home and family care on an average day,Male,Gipuzkoa,Minutes,,108.0
2023,Time devoted to home and family care on an average day,Male,Gipuzkoa,Minutes,,125.0
2013,Gender parity index in average time on home and family care,,,Ratio,1.8983050847457628,1.9
2023,Gender parity index in average time on home and family care,,,Ratio,1.4615384615384617,1.5
2018,Gender parity index in average time on home and family care,,,Ratio,1.9174311926605505,1.9
2018,Gender parity index in average time on home and family care,,Araba/Álava,Ratio,1.9174311926605505,2.0
2023,Gender parity index in average time on home and family care,,Araba/Álava,Ratio,1.4615384615384617,1.6
2013,Gender parity index in average time on home and family care,,Araba/Álava,Ratio,1.8983050847457628,1.8
2023,Gender parity index in average time on home and family care,,Bizkaia,Ratio,1.4615384615384617,1.4
2013,Gender parity index in average time on home and family care,,Bizkaia,Ratio,1.8983050847457628,1.9
2018,Gender parity index in average time on home and family care,,Bizkaia,Ratio,1.9174311926605505,1.9
2023,Gender parity index in average time on home and family care,,Gipuzkoa,Ratio,1.4615384615384617,1.5
2013,Gender parity index in average time on home and family care,,Gipuzkoa,Ratio,1.8983050847457628,1.9
2018,Gender parity index in average time on home and family care,,Gipuzkoa,Ratio,1.9174311926605505,1.9
