Year,Series,Province,Units,Progress,Value
2010,Proportion of seats held by women in Basque Parliament,,%,54.7,45.3
2014,Proportion of seats held by women in Basque Parliament,,%,50.7,49.3
2023,Proportion of seats held by women in Basque Parliament,,%,50.7,49.3
2016,Proportion of seats held by women in Basque Parliament,,%,53.3,53.3
2021,Proportion of seats held by women in Basque Parliament,,%,50.7,50.7
2024,Proportion of seats held by women in Basque Parliament,,%,52.0,52.0
2017,Proportion of seats held by women in Basque Parliament,,%,53.3,53.3
2011,Proportion of seats held by women in Basque Parliament,,%,54.7,45.3
2022,Proportion of seats held by women in Basque Parliament,,%,50.7,50.7
2015,Proportion of seats held by women in Basque Parliament,,%,50.7,49.3
2020,Proportion of seats held by women in Basque Parliament,,%,50.7,50.7
2012,Proportion of seats held by women in Basque Parliament,,%,50.7,49.3
2019,Proportion of seats held by women in Basque Parliament,,%,53.3,53.3
2025,Proportion of seats held by women in Basque Parliament,,%,53.3,53.3
2013,Proportion of seats held by women in Basque Parliament,,%,50.7,49.3
2018,Proportion of seats held by women in Basque Parliament,,%,53.3,53.3
2022,Proportion of women among heads of departments in Basque Government,,%,54.5,45.5
2013,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2011,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2025,Proportion of women among heads of departments in Basque Government,,%,53.3,46.7
2019,Proportion of women among heads of departments in Basque Government,,%,63.6,63.6
2014,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2018,Proportion of women among heads of departments in Basque Government,,%,58.3,41.7
2017,Proportion of women among heads of departments in Basque Government,,%,58.3,41.7
2021,Proportion of women among heads of departments in Basque Government,,%,54.5,45.5
2020,Proportion of women among heads of departments in Basque Government,,%,54.5,45.5
2023,Proportion of women among heads of departments in Basque Government,,%,54.5,45.5
2012,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2016,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2024,Proportion of women among heads of departments in Basque Government,,%,53.3,46.7
2015,Proportion of women among heads of departments in Basque Government,,%,50.0,50.0
2010,Proportion of women among heads of departments in Basque Government,,%,54.5,45.5
2021,Proportion of seats held by women in Provincial Assemblies,,%,54.2,54.2
2018,Proportion of seats held by women in Provincial Assemblies,,%,51.9,48.1
2012,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2015,Proportion of seats held by women in Provincial Assemblies,,%,51.9,48.1
2022,Proportion of seats held by women in Provincial Assemblies,,%,54.2,54.2
2014,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2020,Proportion of seats held by women in Provincial Assemblies,,%,54.2,54.2
2016,Proportion of seats held by women in Provincial Assemblies,,%,51.9,48.1
2025,Proportion of seats held by women in Provincial Assemblies,,%,55.6,44.4
2013,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2011,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2024,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2023,Proportion of seats held by women in Provincial Assemblies,,%,51.6,48.4
2010,Proportion of seats held by women in Provincial Assemblies,,%,58.8,41.2
2017,Proportion of seats held by women in Provincial Assemblies,,%,51.9,48.1
2019,Proportion of seats held by women in Provincial Assemblies,,%,54.2,54.2
2018,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,54.9,45.1
2020,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.9,56.9
2025,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.9,43.1
2014,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,51.0,51.0
2024,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.8,43.2
2023,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.8,43.2
2016,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,54.9,45.1
2022,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.9,56.9
2021,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.9,56.9
2019,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,56.9,56.9
2017,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,54.9,45.1
2015,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,54.9,45.1
2013,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,51.0,51.0
2011,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,51.0,51.0
2012,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,51.0,51.0
2010,Proportion of seats held by women in Provincial Assemblies,Araba/Álava,%,58.8,41.2
2014,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,51.0,49.0
2012,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,51.0,49.0
2016,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,50.0,50.0
2015,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,50.0,50.0
2018,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,50.0,50.0
2019,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.9,54.9
2020,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.9,54.9
2021,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.9,54.9
2023,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.7,54.7
2024,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.7,54.7
2025,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,56.9,43.1
2022,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,54.9,54.9
2017,Proportion of seats held by women in Provincial Assemblies,Gipuzkoa,%,50.0,50.0
