Year,Series,Sex,Type of tenure,Province,Units,Progress,Value
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,66.8,33.2
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,,54.5
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,,51.7
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,69.4,30.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,,43.2
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,61.8,38.2
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,67.1,32.9
2020,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,,47.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,,57.5
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,62.6,37.4
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,,49.2
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,70.9,29.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,78.4,21.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,,46.3
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,,51.2
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,68.4,31.6
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,70.8,29.2
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,,42.8
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,58.6,41.4
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,,44.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,60.6,39.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,,54.5
