Year,Series,Educational level,Units,Value
2016,SE_TOT_CPLR,Lower secondary,%,95.5
2022,SE_TOT_CPLR,Lower secondary,%,94.9
2020,SE_TOT_CPLR,Lower secondary,%,99.4
2015,SE_TOT_CPLR,Lower secondary,%,94.7
2021,SE_TOT_CPLR,Lower secondary,%,98.1
2019,SE_TOT_CPLR,Lower secondary,%,97.0
2018,SE_TOT_CPLR,Lower secondary,%,95.2
2017,SE_TOT_CPLR,Lower secondary,%,96.0
2016,SE_TOT_CPLR,Upper secondary,%,79.1
2018,SE_TOT_CPLR,Upper secondary,%,80.9
2019,SE_TOT_CPLR,Upper secondary,%,82.7
2020,SE_TOT_CPLR,Upper secondary,%,81.5
2021,SE_TOT_CPLR,Upper secondary,%,82.9
2015,SE_TOT_CPLR,Upper secondary,%,79.4
2017,SE_TOT_CPLR,Upper secondary,%,77.9
2022,SE_TOT_CPLR,Upper secondary,%,84.7
