Year,Series,Sex,Units,Value
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,,%,68.1
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,,%,77.6
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,Female,%,68.2
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,Female,%,80.1
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,Male,%,74.9
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in reading,Male,%,67.9
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,,%,69.2
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,,%,81.0
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,Female,%,78.7
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,Female,%,67.0
2023,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,Male,%,83.4
2012,Proportion of people aged 16–65 who have achieved at least level 2 of proficiency in mathematics,Male,%,71.5
