Year,Occupation,Province,Units,Progress,Value
2018,Managerial position,,%,64.2,35.8
2022,Managerial position,,%,67.7,32.3
2021,Managerial position,,%,67.7,32.3
2017,Managerial position,,%,64.4,35.6
2015,Managerial position,,%,63.3,36.7
2012,Managerial position,,%,71.0,29.0
2011,Managerial position,,%,68.3,31.7
2013,Managerial position,,%,68.7,31.3
2019,Managerial position,,%,65.7,34.3
2023,Managerial position,,%,66.1,33.9
2024,Managerial position,,%,65.5,34.5
2014,Managerial position,,%,71.3,28.7
2010,Managerial position,,%,71.2,28.8
2020,Managerial position,,%,68.2,31.8
2016,Managerial position,,%,65.3,34.7
2011,Managerial position,Araba/Álava,%,74.2,25.8
2016,Managerial position,Araba/Álava,%,72.4,27.6
2019,Managerial position,Araba/Álava,%,71.6,28.4
2012,Managerial position,Araba/Álava,%,75.2,24.8
2023,Managerial position,Araba/Álava,%,63.5,36.5
2024,Managerial position,Araba/Álava,%,62.4,37.6
2018,Managerial position,Araba/Álava,%,60.6,39.4
2015,Managerial position,Araba/Álava,%,64.8,35.2
2010,Managerial position,Araba/Álava,%,71.6,28.4
2021,Managerial position,Araba/Álava,%,71.2,28.8
2020,Managerial position,Araba/Álava,%,73.0,27.0
2017,Managerial position,Araba/Álava,%,63.8,36.2
2013,Managerial position,Araba/Álava,%,70.7,29.3
2022,Managerial position,Araba/Álava,%,68.7,31.3
2014,Managerial position,Araba/Álava,%,73.5,26.5
2013,Managerial position,Bizkaia,%,69.4,30.6
2023,Managerial position,Bizkaia,%,64.3,35.7
2020,Managerial position,Bizkaia,%,68.5,31.5
2018,Managerial position,Bizkaia,%,64.5,35.5
2015,Managerial position,Bizkaia,%,62.9,37.1
2022,Managerial position,Bizkaia,%,65.5,34.5
2021,Managerial position,Bizkaia,%,69.8,30.2
2024,Managerial position,Bizkaia,%,66.4,33.6
2012,Managerial position,Bizkaia,%,70.6,29.4
2014,Managerial position,Bizkaia,%,73.2,26.8
2019,Managerial position,Bizkaia,%,64.7,35.3
2016,Managerial position,Bizkaia,%,65.3,34.7
2011,Managerial position,Bizkaia,%,66.8,33.2
2010,Managerial position,Bizkaia,%,69.6,30.4
2017,Managerial position,Bizkaia,%,64.5,35.5
2012,Managerial position,Gipuzkoa,%,69.6,30.4
2024,Managerial position,Gipuzkoa,%,65.2,34.8
2022,Managerial position,Gipuzkoa,%,70.2,29.8
2016,Managerial position,Gipuzkoa,%,61.4,38.6
2019,Managerial position,Gipuzkoa,%,65.3,34.7
2011,Managerial position,Gipuzkoa,%,69.0,31.0
2018,Managerial position,Gipuzkoa,%,65.0,35.0
2023,Managerial position,Gipuzkoa,%,69.7,30.3
2014,Managerial position,Gipuzkoa,%,67.5,32.5
2010,Managerial position,Gipuzkoa,%,73.6,26.4
2020,Managerial position,Gipuzkoa,%,65.7,34.3
2021,Managerial position,Gipuzkoa,%,63.0,37.0
2017,Managerial position,Gipuzkoa,%,64.6,35.4
2015,Managerial position,Gipuzkoa,%,63.4,36.6
2013,Managerial position,Gipuzkoa,%,66.7,33.3
2014,Senior management,,%,72.8,27.2
2023,Senior management,,%,70.5,29.5
2019,Senior management,,%,68.6,31.4
2020,Senior management,,%,70.2,29.8
2012,Senior management,,%,74.3,25.7
2017,Senior management,,%,67.7,32.3
2011,Senior management,,%,71.9,28.1
2018,Senior management,,%,68.1,31.9
2024,Senior management,,%,70.0,30.0
2013,Senior management,,%,69.4,30.6
2015,Senior management,,%,70.5,29.5
2021,Senior management,,%,71.4,28.6
2016,Senior management,,%,69.8,30.2
2010,Senior management,,%,67.5,32.5
2022,Senior management,,%,72.3,27.7
2020,Senior management,Araba/Álava,%,74.9,25.1
2017,Senior management,Araba/Álava,%,61.3,38.7
2024,Senior management,Araba/Álava,%,68.5,31.5
2015,Senior management,Araba/Álava,%,74.5,25.5
2023,Senior management,Araba/Álava,%,69.8,30.2
2022,Senior management,Araba/Álava,%,75.4,24.6
2021,Senior management,Araba/Álava,%,75.7,24.3
2018,Senior management,Araba/Álava,%,57.7,42.3
2016,Senior management,Araba/Álava,%,74.0,26.0
2013,Senior management,Araba/Álava,%,79.9,20.1
2019,Senior management,Araba/Álava,%,76.7,23.3
2011,Senior management,Araba/Álava,%,70.4,29.6
2010,Senior management,Araba/Álava,%,65.4,34.6
2012,Senior management,Araba/Álava,%,88.3,11.7
2014,Senior management,Araba/Álava,%,80.1,19.9
2023,Senior management,Bizkaia,%,68.3,31.7
2024,Senior management,Bizkaia,%,70.1,29.9
2021,Senior management,Bizkaia,%,70.5,29.5
2020,Senior management,Bizkaia,%,67.2,32.8
2019,Senior management,Bizkaia,%,65.5,34.5
2013,Senior management,Bizkaia,%,69.1,30.9
2018,Senior management,Bizkaia,%,72.2,27.8
2017,Senior management,Bizkaia,%,70.7,29.3
2015,Senior management,Bizkaia,%,67.7,32.3
2012,Senior management,Bizkaia,%,72.2,27.8
2010,Senior management,Bizkaia,%,65.1,34.9
2014,Senior management,Bizkaia,%,74.8,25.2
2022,Senior management,Bizkaia,%,68.9,31.1
2011,Senior management,Bizkaia,%,70.7,29.3
2016,Senior management,Bizkaia,%,70.1,29.9
2024,Senior management,Gipuzkoa,%,70.6,29.4
2022,Senior management,Gipuzkoa,%,75.1,24.9
2017,Senior management,Gipuzkoa,%,66.3,33.7
2018,Senior management,Gipuzkoa,%,66.2,33.8
2019,Senior management,Gipuzkoa,%,70.4,29.6
2015,Senior management,Gipuzkoa,%,73.9,26.1
2014,Senior management,Gipuzkoa,%,67.6,32.4
2011,Senior management,Gipuzkoa,%,74.6,25.4
2012,Senior management,Gipuzkoa,%,73.0,27.0
2010,Senior management,Gipuzkoa,%,71.6,28.4
2013,Senior management,Gipuzkoa,%,66.2,33.8
2016,Senior management,Gipuzkoa,%,66.8,33.2
2020,Senior management,Gipuzkoa,%,73.1,26.9
2021,Senior management,Gipuzkoa,%,70.9,29.1
2023,Senior management,Gipuzkoa,%,73.8,26.2
2011,Businesswoman,,%,65.5,34.5
2019,Businesswoman,,%,64.9,35.1
2020,Businesswoman,,%,65.6,34.4
2014,Businesswoman,,%,64.8,35.2
2024,Businesswoman,,%,62.8,37.2
2021,Businesswoman,,%,66.5,33.5
2017,Businesswoman,,%,65.5,34.5
2015,Businesswoman,,%,66.3,33.7
2023,Businesswoman,,%,64.9,35.1
2016,Businesswoman,,%,65.3,34.7
2012,Businesswoman,,%,64.0,36.0
2022,Businesswoman,,%,66.9,33.1
2010,Businesswoman,,%,67.4,32.6
2018,Businesswoman,,%,64.6,35.4
2013,Businesswoman,,%,65.3,34.7
2020,Businesswoman,Araba/Álava,%,69.1,30.9
2019,Businesswoman,Araba/Álava,%,65.4,34.6
2018,Businesswoman,Araba/Álava,%,64.0,36.0
2011,Businesswoman,Araba/Álava,%,68.2,31.8
2015,Businesswoman,Araba/Álava,%,63.3,36.7
2013,Businesswoman,Araba/Álava,%,68.2,31.8
2017,Businesswoman,Araba/Álava,%,67.2,32.8
2024,Businesswoman,Araba/Álava,%,72.7,27.3
2022,Businesswoman,Araba/Álava,%,69.3,30.7
2016,Businesswoman,Araba/Álava,%,65.1,34.9
2010,Businesswoman,Araba/Álava,%,64.8,35.2
2012,Businesswoman,Araba/Álava,%,66.4,33.6
2014,Businesswoman,Araba/Álava,%,66.7,33.3
2021,Businesswoman,Araba/Álava,%,68.7,31.3
2023,Businesswoman,Araba/Álava,%,72.3,27.7
2015,Businesswoman,Bizkaia,%,67.0,33.0
2024,Businesswoman,Bizkaia,%,62.3,37.7
2023,Businesswoman,Bizkaia,%,63.0,37.0
2022,Businesswoman,Bizkaia,%,65.4,34.6
2021,Businesswoman,Bizkaia,%,66.5,33.5
2020,Businesswoman,Bizkaia,%,64.2,35.8
2019,Businesswoman,Bizkaia,%,65.1,34.9
2017,Businesswoman,Bizkaia,%,66.2,33.8
2016,Businesswoman,Bizkaia,%,66.0,34.0
2014,Businesswoman,Bizkaia,%,65.1,34.9
2013,Businesswoman,Bizkaia,%,64.3,35.7
2012,Businesswoman,Bizkaia,%,63.1,36.9
2011,Businesswoman,Bizkaia,%,63.4,36.6
2018,Businesswoman,Bizkaia,%,65.0,35.0
2010,Businesswoman,Bizkaia,%,66.5,33.5
2022,Businesswoman,Gipuzkoa,%,68.0,32.0
2021,Businesswoman,Gipuzkoa,%,65.7,34.3
2019,Businesswoman,Gipuzkoa,%,64.4,35.6
2018,Businesswoman,Gipuzkoa,%,64.3,35.7
2024,Businesswoman,Gipuzkoa,%,60.0,40.0
2017,Businesswoman,Gipuzkoa,%,63.8,36.2
2013,Businesswoman,Gipuzkoa,%,65.5,34.5
2016,Businesswoman,Gipuzkoa,%,64.4,35.6
2012,Businesswoman,Gipuzkoa,%,64.4,35.6
2010,Businesswoman,Gipuzkoa,%,69.5,30.5
2011,Businesswoman,Gipuzkoa,%,67.4,32.6
2020,Businesswoman,Gipuzkoa,%,66.6,33.4
2014,Businesswoman,Gipuzkoa,%,63.6,36.4
2015,Businesswoman,Gipuzkoa,%,66.8,33.2
2023,Businesswoman,Gipuzkoa,%,64.7,35.3
