Year,Value,Units,Series
2015,0.6,%,Growth rate of household expenditure per capita
2017,0.8,%,Growth rate of household expenditure per capita
2014,0.1,%,Growth rate of household expenditure per capita
2018,1.2,%,Growth rate of household expenditure per capita
2020,-1.1,%,Growth rate of household expenditure per capita
2019,1.7,%,Growth rate of household expenditure per capita
2016,0.5,%,Growth rate of household expenditure per capita
2022,1.3,%,Growth rate of household expenditure per capita
2011,1.7,%,Growth rate of household expenditure per capita
2013,0.0,%,Growth rate of household expenditure per capita
2012,0.5,%,Growth rate of household expenditure per capita
2021,-0.3,%,Growth rate of household expenditure per capita
2014,-0.2,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2015,0.3,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2013,-0.3,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2011,1.6,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2020,-1.3,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2022,1.3,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2021,-0.1,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2012,0.1,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2018,1.0,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2017,0.6,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2016,-0.1,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2019,1.3,%,Growth rate of household expenditure among the bottom 40 per cent of the population per capita
2012,-1.0,%,Growth rate of household income per capita
2018,1.6,%,Growth rate of household income per capita
2020,4.5,%,Growth rate of household income per capita
2008,4.2,%,Growth rate of household income per capita
2022,3.2,%,Growth rate of household income per capita
2014,-0.9,%,Growth rate of household income per capita
2016,1.0,%,Growth rate of household income per capita
2008,4.8,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2018,1.7,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2012,-0.7,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2020,2.9,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2022,4.2,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2014,-1.7,%,Growth rate of household income among the bottom 40 per cent of the population per capita
2016,1.0,%,Growth rate of household income among the bottom 40 per cent of the population per capita
