Year,Value,Units,Series
2023,95.9,%,"Diphtheria, tetanus, and pertussis in children"
2018,92.5,%,"Diphtheria, tetanus, and pertussis in children"
2021,90.8,%,"Diphtheria, tetanus, and pertussis in children"
2017,93.0,%,"Diphtheria, tetanus, and pertussis in children"
2020,85.5,%,"Diphtheria, tetanus, and pertussis in children"
2022,94.2,%,"Diphtheria, tetanus, and pertussis in children"
2019,93.1,%,"Diphtheria, tetanus, and pertussis in children"
2024,95.2,%,"Diphtheria, tetanus, and pertussis in children"
2023,95.8,%,Pneumococcal disease in children
2020,85.4,%,Pneumococcal disease in children
2021,90.6,%,Pneumococcal disease in children
2019,93.3,%,Pneumococcal disease in children
2022,94.2,%,Pneumococcal disease in children
2017,88.3,%,Pneumococcal disease in children
2018,91.3,%,Pneumococcal disease in children
2024,94.9,%,Pneumococcal disease in children
2017,94.7,%,"Measles, mumps, and rubella in children"
2019,94.2,%,"Measles, mumps, and rubella in children"
2018,93.5,%,"Measles, mumps, and rubella in children"
2020,90.2,%,"Measles, mumps, and rubella in children"
2021,83.3,%,"Measles, mumps, and rubella in children"
2023,92.4,%,"Measles, mumps, and rubella in children"
2022,88.1,%,"Measles, mumps, and rubella in children"
2024,88.0,%,"Measles, mumps, and rubella in children"
2017,93.4,%,Human papillomavirus (HPV) in adolescents
2018,92.6,%,Human papillomavirus (HPV) in adolescents
2019,85.5,%,Human papillomavirus (HPV) in adolescents
2020,88.5,%,Human papillomavirus (HPV) in adolescents
2023,90.9,%,Human papillomavirus (HPV) in adolescents
2021,69.1,%,Human papillomavirus (HPV) in adolescents
2022,85.3,%,Human papillomavirus (HPV) in adolescents
2024,91.8,%,Human papillomavirus (HPV) in adolescents
