Year,Value,Units,Series
2010,100.0,%,Proportion of schools with access to electricity
2011,100.0,%,Proportion of schools with access to electricity
2025,100.0,%,Proportion of schools with access to electricity
2022,100.0,%,Proportion of schools with access to electricity
2018,100.0,%,Proportion of schools with access to electricity
2014,100.0,%,Proportion of schools with access to electricity
2016,100.0,%,Proportion of schools with access to electricity
2013,100.0,%,Proportion of schools with access to electricity
2012,100.0,%,Proportion of schools with access to electricity
2024,100.0,%,Proportion of schools with access to electricity
2017,100.0,%,Proportion of schools with access to electricity
2023,100.0,%,Proportion of schools with access to electricity
2021,100.0,%,Proportion of schools with access to electricity
2020,100.0,%,Proportion of schools with access to electricity
2019,100.0,%,Proportion of schools with access to electricity
2015,100.0,%,Proportion of schools with access to electricity
2011,100.0,%,Proportion of schools with an internet connection
2013,100.0,%,Proportion of schools with an internet connection
2016,100.0,%,Proportion of schools with an internet connection
2019,99.9,%,Proportion of schools with an internet connection
2021,99.9,%,Proportion of schools with an internet connection
2017,100.0,%,Proportion of schools with an internet connection
2014,100.0,%,Proportion of schools with an internet connection
2012,100.0,%,Proportion of schools with an internet connection
2010,100.0,%,Proportion of schools with an internet connection
2023,99.9,%,Proportion of schools with an internet connection
2015,100.0,%,Proportion of schools with an internet connection
2013,100.0,%,Proportion of schools with single-sex restrooms
2012,100.0,%,Proportion of schools with single-sex restrooms
2021,100.0,%,Proportion of schools with single-sex restrooms
2010,100.0,%,Proportion of schools with single-sex restrooms
2018,100.0,%,Proportion of schools with single-sex restrooms
2016,100.0,%,Proportion of schools with single-sex restrooms
2015,100.0,%,Proportion of schools with single-sex restrooms
2014,100.0,%,Proportion of schools with single-sex restrooms
2017,100.0,%,Proportion of schools with single-sex restrooms
2019,100.0,%,Proportion of schools with single-sex restrooms
2025,100.0,%,Proportion of schools with single-sex restrooms
2020,100.0,%,Proportion of schools with single-sex restrooms
2022,100.0,%,Proportion of schools with single-sex restrooms
2011,100.0,%,Proportion of schools with single-sex restrooms
2023,100.0,%,Proportion of schools with single-sex restrooms
2024,100.0,%,Proportion of schools with single-sex restrooms
2014,100.0,%,Proportion of schools with drinking water supply
2011,100.0,%,Proportion of schools with drinking water supply
2010,100.0,%,Proportion of schools with drinking water supply
2012,100.0,%,Proportion of schools with drinking water supply
2024,100.0,%,Proportion of schools with drinking water supply
2013,100.0,%,Proportion of schools with drinking water supply
2016,100.0,%,Proportion of schools with drinking water supply
2015,100.0,%,Proportion of schools with drinking water supply
2020,100.0,%,Proportion of schools with drinking water supply
2022,100.0,%,Proportion of schools with drinking water supply
2017,100.0,%,Proportion of schools with drinking water supply
2018,100.0,%,Proportion of schools with drinking water supply
2019,100.0,%,Proportion of schools with drinking water supply
2021,100.0,%,Proportion of schools with drinking water supply
2023,100.0,%,Proportion of schools with drinking water supply
2025,100.0,%,Proportion of schools with drinking water supply
2010,100.0,%,Proportion of schools with handwashing facilities
2011,100.0,%,Proportion of schools with handwashing facilities
2014,100.0,%,Proportion of schools with handwashing facilities
2012,100.0,%,Proportion of schools with handwashing facilities
2013,100.0,%,Proportion of schools with handwashing facilities
2015,100.0,%,Proportion of schools with handwashing facilities
2016,100.0,%,Proportion of schools with handwashing facilities
2024,100.0,%,Proportion of schools with handwashing facilities
2020,100.0,%,Proportion of schools with handwashing facilities
2017,100.0,%,Proportion of schools with handwashing facilities
2018,100.0,%,Proportion of schools with handwashing facilities
2019,100.0,%,Proportion of schools with handwashing facilities
2021,100.0,%,Proportion of schools with handwashing facilities
2022,100.0,%,Proportion of schools with handwashing facilities
2023,100.0,%,Proportion of schools with handwashing facilities
2025,100.0,%,Proportion of schools with handwashing facilities
