Year,Value,Units,Series,Progress
2011,31.7,%,Proportion of women in managerial positions,68.3
2023,33.9,%,Proportion of women in managerial positions,66.1
2021,32.3,%,Proportion of women in managerial positions,67.7
2014,28.7,%,Proportion of women in managerial positions,71.3
2022,32.3,%,Proportion of women in managerial positions,67.7
2016,34.7,%,Proportion of women in managerial positions,65.3
2017,35.6,%,Proportion of women in managerial positions,64.4
2020,31.8,%,Proportion of women in managerial positions,68.2
2012,29.0,%,Proportion of women in managerial positions,71.0
2010,28.8,%,Proportion of women in managerial positions,71.2
2019,34.3,%,Proportion of women in managerial positions,65.7
2013,31.3,%,Proportion of women in managerial positions,68.7
2024,34.5,%,Proportion of women in managerial positions,65.5
2015,36.7,%,Proportion of women in managerial positions,63.3
2018,35.8,%,Proportion of women in managerial positions,64.2
2011,28.1,%,Proportion of women in senior managerial positions,71.9
2020,29.8,%,Proportion of women in senior managerial positions,70.2
2022,27.7,%,Proportion of women in senior managerial positions,72.3
2019,31.4,%,Proportion of women in senior managerial positions,68.6
2014,27.2,%,Proportion of women in senior managerial positions,72.8
2024,30.0,%,Proportion of women in senior managerial positions,70.0
2017,32.3,%,Proportion of women in senior managerial positions,67.7
2015,29.5,%,Proportion of women in senior managerial positions,70.5
2012,25.7,%,Proportion of women in senior managerial positions,74.3
2023,29.5,%,Proportion of women in senior managerial positions,70.5
2021,28.6,%,Proportion of women in senior managerial positions,71.4
2016,30.2,%,Proportion of women in senior managerial positions,69.8
2010,32.5,%,Proportion of women in senior managerial positions,67.5
2013,30.6,%,Proportion of women in senior managerial positions,69.4
2018,31.9,%,Proportion of women in senior managerial positions,68.1
2020,34.4,%,Proportion of women among businesspeople,65.6
2013,34.7,%,Proportion of women among businesspeople,65.3
2019,35.1,%,Proportion of women among businesspeople,64.9
2016,34.7,%,Proportion of women among businesspeople,65.3
2011,34.5,%,Proportion of women among businesspeople,65.5
2022,33.1,%,Proportion of women among businesspeople,66.9
2015,33.7,%,Proportion of women among businesspeople,66.3
2012,36.0,%,Proportion of women among businesspeople,64.0
2010,32.6,%,Proportion of women among businesspeople,67.4
2024,37.2,%,Proportion of women among businesspeople,62.8
2017,34.5,%,Proportion of women among businesspeople,65.5
2023,35.1,%,Proportion of women among businesspeople,64.9
2018,35.4,%,Proportion of women among businesspeople,64.6
2021,33.5,%,Proportion of women among businesspeople,66.5
2014,35.2,%,Proportion of women among businesspeople,64.8
