Year,Value,Units,Series,Progress
2009,33.2,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",66.8
2009,54.5,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land,
2016,51.7,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land,
2020,30.6,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",69.4
2023,43.2,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land,
2016,38.2,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",61.8
2023,32.9,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",67.1
2020,47.9,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land,
2013,57.5,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land,
2013,37.4,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",62.6
