Year,Value,Units,Series
2017,0.06,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2018,0.06,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2019,0.05,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2012,0.08,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2020,0.05,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2014,0.08,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2016,0.07,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2022,0.05,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2015,0.07,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2021,0.05,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2010,0.1,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2013,0.08,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2011,0.08,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2023,0.05,Grams per euro of GDP,PM2.5 emission intensity from the manufacturing industry
2020,0.11,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2017,0.13,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2011,0.18,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2010,0.2,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2015,0.15,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2022,0.12,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2016,0.14,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2018,0.16,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2013,0.18,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2012,0.16,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2021,0.11,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2019,0.14,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2023,0.11,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
2014,0.18,Grams per euro of GDP,PM10 emission intensity from the manufacturing industry
