Year,Series,Units,Value
2022,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,10.4
2024,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,8.4
2018,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,9.9
2014,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,9.2
2015,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,10.1
2011,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,11.1
2010,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,11.3
2012,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,10.1
2023,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,9.5
2017,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,9.8
2021,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,10.0
2016,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,8.6
2020,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,8.8
2019,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,9.0
2013,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población",Microgramos por metro cúbico,10.5
2010,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,24.2
2011,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,27.0
2012,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,26.7
2014,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,17.4
2015,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,17.9
2016,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,15.3
2013,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,15.9
2017,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,17.9
2021,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,16.1
2018,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,16.7
2019,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,16.3
2020,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,15.6
2022,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,17.7
2023,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,16.4
2024,Nivel medio de partículas PM10 en las ciudades ponderado según la población,Microgramos por metro cúbico,14.6
