Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Progress,Value
2019,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,102.16,102.16
2020,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,100.05,100.05
2017,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,102.13,97.87
2022,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,104.68,104.68
2021,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,102.22,102.22
2018,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,101.47,98.53
2023,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,101.1,101.1
2016,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,,,%,,105.2,94.8
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,103.31,103.31
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,110.23,110.23
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,102.63,97.37
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,100.78,99.22
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,103.22,96.78
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,100.45,100.45
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,106.16,93.84
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,101.53,98.47
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,100.26,100.26
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,100.27,100.27
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,101.95,98.05
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,100.2,100.2
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,106.97,93.03
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,,%,,102.83,97.17
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abadiño,%,Abadiño,104.17,95.83
