Year,Series,Sexo,Territorio histórico,Units,Value
2017,Número de muertes prematuras por exposición a partículas finas,,,Número,594.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,27.8
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,27.2
2018,Número de muertes prematuras por exposición a partículas finas,,,Número,836.0
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,37.1
2021,Número de muertes prematuras por exposición a partículas finas,,,Número,607.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,30.0
2016,Número de muertes prematuras por exposición a partículas finas,,,Número,560.0
2022,Número de muertes prematuras por exposición a partículas finas,,,Número,750.0
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,31.3
2019,Número de muertes prematuras por exposición a partículas finas,,,Número,636.0
2023,Número de muertes prematuras por exposición a partículas finas,,,Número,569.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,39.5
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,29.9
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,29.0
2020,Número de muertes prematuras por exposición a partículas finas,,,Número,606.0
2015,Número de muertes prematuras por exposición a partículas finas,,,Número,821.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,41.1
2015,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,115.0
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.7
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,26.3
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,34.8
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,35.5
2016,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,79.0
2020,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,90.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.0
2023,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,73.0
2017,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,79.0
2021,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,79.0
2019,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,91.0
2018,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,119.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,21.0
2022,Número de muertes prematuras por exposición a partículas finas,,Araba/Álava,Número,108.0
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,26.9
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,31.4
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.9
2023,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,367.0
2019,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,381.0
2017,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,377.0
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,33.2
2020,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,381.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,34.6
2018,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,488.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.7
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,35.4
2021,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,384.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.2
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,45.5
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,46.1
2016,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,357.0
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.2
2022,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,456.0
2015,Número de muertes prematuras por exposición a partículas finas,,Bizkaia,Número,494.0
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,43.5
2016,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,122.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,31.9
2017,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,136.0
2023,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,129.0
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,29.3
2015,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,211.0
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,21.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,21.1
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,25.6
2018,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,228.0
2020,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,134.0
2019,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,163.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,35.5
2021,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,142.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,20.2
2022,Número de muertes prematuras por exposición a partículas finas,,Gipuzkoa,Número,185.0
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,18.7
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Gipuzkoa,Por 100.000,22.5
2021,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,299.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,14.5
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,19.5
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,13.6
2016,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,278.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,14.7
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,13.3
2022,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,376.0
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,14.3
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,18.2
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,20.2
2018,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,418.0
2023,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,285.0
2020,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,303.0
2019,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,317.0
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,,Por 100.000,15.3
2017,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,298.0
2015,Número de muertes prematuras por exposición a partículas finas,Mujer,,Número,411.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Araba/Álava,Por 100.000,12.9
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Araba/Álava,Por 100.000,11.2
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Araba/Álava,Por 100.000,15.4
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Araba/Álava,Por 100.000,11.8
