Year,Series,Units,Value
2014,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.39
2015,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.16
2016,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.35
2017,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.75
2018,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.2
2019,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,0.59
2020,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,0.43
2021,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.25
2022,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.43
2023,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.02
2024,Asistencia oficial para el desarollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total),Millones de euros,1.04
