Year,Ocupacion,Territorio histórico,Units,Progress,Value
2018,Cargo directivo,,%,64.2,35.8
2022,Cargo directivo,,%,67.7,32.3
2021,Cargo directivo,,%,67.7,32.3
2017,Cargo directivo,,%,64.4,35.6
2015,Cargo directivo,,%,63.3,36.7
2012,Cargo directivo,,%,71.0,29.0
2011,Cargo directivo,,%,68.3,31.7
2013,Cargo directivo,,%,68.7,31.3
2019,Cargo directivo,,%,65.7,34.3
2023,Cargo directivo,,%,66.1,33.9
2024,Cargo directivo,,%,65.5,34.5
2014,Cargo directivo,,%,71.3,28.7
2010,Cargo directivo,,%,71.2,28.8
2020,Cargo directivo,,%,68.2,31.8
2016,Cargo directivo,,%,65.3,34.7
2011,Cargo directivo,Araba/Álava,%,74.2,25.8
2016,Cargo directivo,Araba/Álava,%,72.4,27.6
2019,Cargo directivo,Araba/Álava,%,71.6,28.4
2012,Cargo directivo,Araba/Álava,%,75.2,24.8
2023,Cargo directivo,Araba/Álava,%,63.5,36.5
2024,Cargo directivo,Araba/Álava,%,62.4,37.6
2018,Cargo directivo,Araba/Álava,%,60.6,39.4
2015,Cargo directivo,Araba/Álava,%,64.8,35.2
2010,Cargo directivo,Araba/Álava,%,71.6,28.4
2021,Cargo directivo,Araba/Álava,%,71.2,28.8
2020,Cargo directivo,Araba/Álava,%,73.0,27.0
2017,Cargo directivo,Araba/Álava,%,63.8,36.2
2013,Cargo directivo,Araba/Álava,%,70.7,29.3
2022,Cargo directivo,Araba/Álava,%,68.7,31.3
2014,Cargo directivo,Araba/Álava,%,73.5,26.5
2013,Cargo directivo,Bizkaia,%,69.4,30.6
2023,Cargo directivo,Bizkaia,%,64.3,35.7
2020,Cargo directivo,Bizkaia,%,68.5,31.5
2018,Cargo directivo,Bizkaia,%,64.5,35.5
2015,Cargo directivo,Bizkaia,%,62.9,37.1
2022,Cargo directivo,Bizkaia,%,65.5,34.5
2021,Cargo directivo,Bizkaia,%,69.8,30.2
2024,Cargo directivo,Bizkaia,%,66.4,33.6
2012,Cargo directivo,Bizkaia,%,70.6,29.4
2014,Cargo directivo,Bizkaia,%,73.2,26.8
2019,Cargo directivo,Bizkaia,%,64.7,35.3
2016,Cargo directivo,Bizkaia,%,65.3,34.7
2011,Cargo directivo,Bizkaia,%,66.8,33.2
2010,Cargo directivo,Bizkaia,%,69.6,30.4
2017,Cargo directivo,Bizkaia,%,64.5,35.5
2012,Cargo directivo,Gipuzkoa,%,69.6,30.4
2024,Cargo directivo,Gipuzkoa,%,65.2,34.8
2022,Cargo directivo,Gipuzkoa,%,70.2,29.8
2016,Cargo directivo,Gipuzkoa,%,61.4,38.6
2019,Cargo directivo,Gipuzkoa,%,65.3,34.7
2011,Cargo directivo,Gipuzkoa,%,69.0,31.0
2018,Cargo directivo,Gipuzkoa,%,65.0,35.0
2023,Cargo directivo,Gipuzkoa,%,69.7,30.3
2014,Cargo directivo,Gipuzkoa,%,67.5,32.5
2010,Cargo directivo,Gipuzkoa,%,73.6,26.4
