Year,Series,Units,Value
2014,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6842239.8
2015,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6130790.6
2016,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6943260.5
2017,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,8337348.6
2018,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,7918881.9
2019,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6109368.2
2020,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,4986517.2
2021,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,7204235.5
2022,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6880422.7
2023,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6102050.6
2024,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,5907395.2
