Year,Series,Sexo,Units,Value
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,,%,68.1
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,,%,77.6
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,Mujer,%,68.2
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,Mujer,%,80.1
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,Hombre,%,74.9
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de comprensión lectora,Hombre,%,67.9
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,,%,69.2
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,,%,81.0
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,Mujer,%,78.7
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,Mujer,%,67.0
2023,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,Hombre,%,83.4
2012,Proporción de personas de entre 16 y 65 años que han alcanzado al menos el nivel 2 de competencia en la escala de matemáticas,Hombre,%,71.5
