Year,Series,Sexo,Territorio histórico,Units,Progress,Value
2018,Tiempo dedicado al hogar y la familia en un día promedio,,,Minutos,1.9174311926605505,161.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,,,Minutos,1.4615384615384617,161.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,,,Minutos,1.8983050847457628,173.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,,Araba/Álava,Minutos,1.9174311926605505,166.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,,Araba/Álava,Minutos,1.4615384615384617,161.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,,Araba/Álava,Minutos,1.8983050847457628,175.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,,Bizkaia,Minutos,1.9174311926605505,160.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,,Bizkaia,Minutos,1.4615384615384617,164.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,,Bizkaia,Minutos,1.8983050847457628,176.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,,Gipuzkoa,Minutos,1.9174311926605505,158.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,,Gipuzkoa,Minutos,1.8983050847457628,166.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,,Gipuzkoa,Minutos,1.4615384615384617,157.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,,Minutos,,224.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,,Minutos,,190.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,,Minutos,,209.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Araba/Álava,Minutos,,197.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Araba/Álava,Minutos,,223.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Araba/Álava,Minutos,,217.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Bizkaia,Minutos,,229.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Bizkaia,Minutos,,208.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Bizkaia,Minutos,,190.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Gipuzkoa,Minutos,,206.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Gipuzkoa,Minutos,,217.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Mujer,Gipuzkoa,Minutos,,187.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,,Minutos,,109.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,,Minutos,,118.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,,Minutos,,130.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Araba/Álava,Minutos,,111.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Araba/Álava,Minutos,,122.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Araba/Álava,Minutos,,127.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Bizkaia,Minutos,,118.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Bizkaia,Minutos,,135.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Bizkaia,Minutos,,108.0
2013,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Gipuzkoa,Minutos,,113.0
2018,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Gipuzkoa,Minutos,,108.0
2023,Tiempo dedicado al hogar y la familia en un día promedio,Hombre,Gipuzkoa,Minutos,,125.0
2013,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,,Ratio,1.8983050847457628,1.9
2023,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,,Ratio,1.4615384615384617,1.5
2018,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,,Ratio,1.9174311926605505,1.9
2018,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Araba/Álava,Ratio,1.9174311926605505,2.0
2023,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Araba/Álava,Ratio,1.4615384615384617,1.6
2013,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Araba/Álava,Ratio,1.8983050847457628,1.8
2023,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Bizkaia,Ratio,1.4615384615384617,1.4
2013,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Bizkaia,Ratio,1.8983050847457628,1.9
2018,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Bizkaia,Ratio,1.9174311926605505,1.9
2023,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Gipuzkoa,Ratio,1.4615384615384617,1.5
2013,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Gipuzkoa,Ratio,1.8983050847457628,1.9
2018,Índice de paridad de género en el tiempo medio dedicado al hogar y la familia,,Gipuzkoa,Ratio,1.9174311926605505,1.9
