Year,Series,Sexo,Tipo de tenencia,Territorio histórico,Units,Progress,Value
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,,%,66.8,33.2
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,,%,,54.5
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,,%,,51.7
2020,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,,%,69.4,30.6
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,,%,,43.2
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,,%,61.8,38.2
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,,%,67.1,32.9
2020,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,,%,,47.9
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,,%,,57.5
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,,%,62.6,37.4
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Araba/Álava,%,,49.2
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Araba/Álava,%,70.9,29.1
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Araba/Álava,%,78.4,21.6
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Araba/Álava,%,,46.3
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Araba/Álava,%,,51.2
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Araba/Álava,%,68.4,31.6
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Araba/Álava,%,70.8,29.2
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Araba/Álava,%,,42.8
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Bizkaia,%,58.6,41.4
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Bizkaia,%,,44.0
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Bizkaia,%,60.6,39.4
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Bizkaia,%,,54.5
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Bizkaia,%,59.1,40.9
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Bizkaia,%,,62.0
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Bizkaia,%,63.2,36.8
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Bizkaia,%,,58.3
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Gipuzkoa,%,,53.0
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Gipuzkoa,%,62.9,37.1
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Gipuzkoa,%,,57.1
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Gipuzkoa,%,,52.1
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Gipuzkoa,%,64.5,35.5
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,,,Gipuzkoa,%,,40.8
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Gipuzkoa,%,68.9,31.1
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,,Gipuzkoa,%,63.0,37.0
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,,%,64.4,35.6
2020,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,,%,67.1,32.9
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,,%,59.6,40.4
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,,%,64.9,35.1
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,,%,60.9,39.1
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,Araba/Álava,%,69.3,30.7
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,Araba/Álava,%,75.8,24.2
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,Bizkaia,%,61.0,39.0
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En propiedad,Bizkaia,%,58.2,41.8
