Year,Value,Units,Series,GeoCode,Progress
2019,102.16,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,102.16
2020,100.05,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,100.05
2017,97.87,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,102.13
2022,104.68,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,104.68
2021,102.22,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,102.22
2018,98.53,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,101.47
2023,101.1,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,101.1
2016,94.8,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,,105.2
2023,103.31,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,103.31
2010,110.23,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,110.23
2016,97.37,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,102.63
2021,99.22,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,100.78
2017,96.78,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,103.22
2011,100.45,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,100.45
2020,93.84,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,106.16
2014,98.47,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,101.53
2022,100.26,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,100.26
2019,100.27,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,100.27
2015,98.05,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,101.95
2013,100.2,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,100.2
2012,93.03,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,106.97
2018,97.17,%,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,102.83
