Year,Value,Units,Series,Progress
2022,1.01,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2015,0.99,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2019,1.07,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.07
2012,0.99,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2016,1.07,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.07
2010,0.91,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.09
2023,0.99,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2011,0.91,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.09
2020,1.01,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2014,0.99,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2021,1.01,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2017,1.07,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.07
2018,1.07,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.07
2013,0.99,Ratio,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,1.01
2015,1.16,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.16
2013,1.15,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.15
2020,1.22,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.22
2023,1.29,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.29
2014,1.16,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.16
2019,1.21,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.21
2022,1.23,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.23
2018,1.16,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.16
2021,1.23,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.23
2011,1.12,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.12
2017,1.19,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.19
2016,1.17,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.17
2012,1.14,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.14
2024,1.3,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.3
2010,1.13,Ratio,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,1.13
2024,1.25,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.25
2017,1.22,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.22
2020,1.24,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.24
2011,1.22,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.22
2018,1.21,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.21
2021,1.23,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.23
2015,1.24,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.24
2019,1.23,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.23
2016,1.2,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.2
2013,1.23,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.23
2022,1.2,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.2
2023,1.22,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.22
2012,1.17,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.17
2025,1.24,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.24
2014,1.23,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.23
2010,1.15,Ratio,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,1.15
