Year,Value,Units,Series
2023,95.9,%,"Difteria, tétanos y tosferina en la población infantil "
2018,92.5,%,"Difteria, tétanos y tosferina en la población infantil "
2021,90.8,%,"Difteria, tétanos y tosferina en la población infantil "
2017,93.0,%,"Difteria, tétanos y tosferina en la población infantil "
2020,85.5,%,"Difteria, tétanos y tosferina en la población infantil "
2022,94.2,%,"Difteria, tétanos y tosferina en la población infantil "
2019,93.1,%,"Difteria, tétanos y tosferina en la población infantil "
2024,95.2,%,"Difteria, tétanos y tosferina en la población infantil "
2023,95.8,%,Neumococo en la población infantil 
2020,85.4,%,Neumococo en la población infantil 
2021,90.6,%,Neumococo en la población infantil 
2019,93.3,%,Neumococo en la población infantil 
2022,94.2,%,Neumococo en la población infantil 
2017,88.3,%,Neumococo en la población infantil 
2018,91.3,%,Neumococo en la población infantil 
2024,94.9,%,Neumococo en la población infantil 
2017,94.7,%,"Sarampión, rubeola y parotiditis en la población infantil"
2019,94.2,%,"Sarampión, rubeola y parotiditis en la población infantil"
2018,93.5,%,"Sarampión, rubeola y parotiditis en la población infantil"
2020,90.2,%,"Sarampión, rubeola y parotiditis en la población infantil"
2021,83.3,%,"Sarampión, rubeola y parotiditis en la población infantil"
2023,92.4,%,"Sarampión, rubeola y parotiditis en la población infantil"
2022,88.1,%,"Sarampión, rubeola y parotiditis en la población infantil"
2024,88.0,%,"Sarampión, rubeola y parotiditis en la población infantil"
2017,93.4,%,Papiloma humano (VPH) en las adolescentes 
2018,92.6,%,Papiloma humano (VPH) en las adolescentes 
2019,85.5,%,Papiloma humano (VPH) en las adolescentes 
2020,88.5,%,Papiloma humano (VPH) en las adolescentes 
2023,90.9,%,Papiloma humano (VPH) en las adolescentes 
2021,69.1,%,Papiloma humano (VPH) en las adolescentes 
2022,85.3,%,Papiloma humano (VPH) en las adolescentes 
2024,91.8,%,Papiloma humano (VPH) en las adolescentes 
