Year,Value,Units,Series
2017,96.0,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2016,95.5,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2018,95.2,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2020,99.4,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2019,97.0,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2021,98.1,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2015,94.7,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2022,94.9,%,Tasa de finalización de la primera etapa de enseñanza secundaria (población de 18 a 20 años)
2016,79.1,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2017,77.9,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2021,82.9,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2015,79.4,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2018,80.9,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2019,82.7,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2020,81.5,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
2022,84.7,%,Tasa de finalización de la segunda etapa de enseñanza secundaria (población de 20 a 22 años)
