Year,Value,Units,Series
2010,100.0,%,Proporción de escuelas con acceso a electricidad
2011,100.0,%,Proporción de escuelas con acceso a electricidad
2025,100.0,%,Proporción de escuelas con acceso a electricidad
2022,100.0,%,Proporción de escuelas con acceso a electricidad
2018,100.0,%,Proporción de escuelas con acceso a electricidad
2014,100.0,%,Proporción de escuelas con acceso a electricidad
2016,100.0,%,Proporción de escuelas con acceso a electricidad
2013,100.0,%,Proporción de escuelas con acceso a electricidad
2012,100.0,%,Proporción de escuelas con acceso a electricidad
2024,100.0,%,Proporción de escuelas con acceso a electricidad
2017,100.0,%,Proporción de escuelas con acceso a electricidad
2023,100.0,%,Proporción de escuelas con acceso a electricidad
2021,100.0,%,Proporción de escuelas con acceso a electricidad
2020,100.0,%,Proporción de escuelas con acceso a electricidad
2019,100.0,%,Proporción de escuelas con acceso a electricidad
2015,100.0,%,Proporción de escuelas con acceso a electricidad
2011,100.0,%,Proporción de escuelas con conexión a internet
2013,100.0,%,Proporción de escuelas con conexión a internet
2016,100.0,%,Proporción de escuelas con conexión a internet
2019,99.9,%,Proporción de escuelas con conexión a internet
2021,99.9,%,Proporción de escuelas con conexión a internet
2017,100.0,%,Proporción de escuelas con conexión a internet
2014,100.0,%,Proporción de escuelas con conexión a internet
2012,100.0,%,Proporción de escuelas con conexión a internet
2010,100.0,%,Proporción de escuelas con conexión a internet
2023,99.9,%,Proporción de escuelas con conexión a internet
2015,100.0,%,Proporción de escuelas con conexión a internet
2013,100.0,%,Proporción de escuelas con baños separados por sexo
2012,100.0,%,Proporción de escuelas con baños separados por sexo
2021,100.0,%,Proporción de escuelas con baños separados por sexo
2010,100.0,%,Proporción de escuelas con baños separados por sexo
2018,100.0,%,Proporción de escuelas con baños separados por sexo
2016,100.0,%,Proporción de escuelas con baños separados por sexo
2015,100.0,%,Proporción de escuelas con baños separados por sexo
2014,100.0,%,Proporción de escuelas con baños separados por sexo
2017,100.0,%,Proporción de escuelas con baños separados por sexo
2019,100.0,%,Proporción de escuelas con baños separados por sexo
2025,100.0,%,Proporción de escuelas con baños separados por sexo
2020,100.0,%,Proporción de escuelas con baños separados por sexo
2022,100.0,%,Proporción de escuelas con baños separados por sexo
2011,100.0,%,Proporción de escuelas con baños separados por sexo
2023,100.0,%,Proporción de escuelas con baños separados por sexo
2024,100.0,%,Proporción de escuelas con baños separados por sexo
2014,100.0,%,Proporción de escuelas con suministro de agua potable
2011,100.0,%,Proporción de escuelas con suministro de agua potable
2010,100.0,%,Proporción de escuelas con suministro de agua potable
2012,100.0,%,Proporción de escuelas con suministro de agua potable
2024,100.0,%,Proporción de escuelas con suministro de agua potable
2013,100.0,%,Proporción de escuelas con suministro de agua potable
2016,100.0,%,Proporción de escuelas con suministro de agua potable
2015,100.0,%,Proporción de escuelas con suministro de agua potable
2020,100.0,%,Proporción de escuelas con suministro de agua potable
2022,100.0,%,Proporción de escuelas con suministro de agua potable
2017,100.0,%,Proporción de escuelas con suministro de agua potable
2018,100.0,%,Proporción de escuelas con suministro de agua potable
2019,100.0,%,Proporción de escuelas con suministro de agua potable
2021,100.0,%,Proporción de escuelas con suministro de agua potable
2023,100.0,%,Proporción de escuelas con suministro de agua potable
2025,100.0,%,Proporción de escuelas con suministro de agua potable
2010,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2011,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2014,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2012,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2013,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2015,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2016,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2024,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2020,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2017,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2018,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2019,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2021,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2022,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2023,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
2025,100.0,%,Proporción de escuelas con instalaciones para el lavado de manos
