Year,Value,Units,Series
2017,0.06,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2018,0.06,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2019,0.05,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2012,0.08,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2020,0.05,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2014,0.08,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2016,0.07,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2022,0.05,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2015,0.07,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2021,0.05,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2010,0.1,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2013,0.08,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2011,0.08,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2023,0.05,Gramo por euro de PIB,"Intensidad de las emisiones PM2,5 de la industria manufacturera"
2020,0.11,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2017,0.13,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2011,0.18,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2010,0.2,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2015,0.15,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2022,0.12,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2016,0.14,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2018,0.16,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2013,0.18,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2012,0.16,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2021,0.11,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2019,0.14,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2023,0.11,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
2014,0.18,Gramo por euro de PIB,Intensidad de las emisiones PM10 de la industria manufacturera
