Year,Series,Sexua,Lurralde historikoa,Units,Progress,Value
2018,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,,Minutuak,1.9174311926605505,161.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,,Minutuak,1.4615384615384617,161.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,,Minutuak,1.8983050847457628,173.0
2018,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Araba / Álava,Minutuak,1.9174311926605505,166.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Araba / Álava,Minutuak,1.4615384615384617,161.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Araba / Álava,Minutuak,1.8983050847457628,175.0
2018,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Bizkaia,Minutuak,1.9174311926605505,160.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Bizkaia,Minutuak,1.4615384615384617,164.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Bizkaia,Minutuak,1.8983050847457628,176.0
2018,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Gipuzkoa,Minutuak,1.9174311926605505,158.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Gipuzkoa,Minutuak,1.8983050847457628,166.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,,Gipuzkoa,Minutuak,1.4615384615384617,157.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,Emakumea,,Minutuak,,224.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,Emakumea,,Minutuak,,190.0
2018,Batez besteko egun batean etxeari eta familiari eskainitako denbora,Emakumea,,Minutuak,,209.0
2023,Batez besteko egun batean etxeari eta familiari eskainitako denbora,Emakumea,Araba / Álava,Minutuak,,197.0
2013,Batez besteko egun batean etxeari eta familiari eskainitako denbora,Emakumea,Araba / Álava,Minutuak,,223.0
