Year,Series,Lurralde historikoa,Units,Progress,Value
2011,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,68.3,31.7
2023,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,66.1,33.9
2021,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,67.7,32.3
2014,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,71.3,28.7
2022,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,67.7,32.3
2016,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,65.3,34.7
2017,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,64.4,35.6
2020,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,68.2,31.8
2012,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,71.0,29.0
2010,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,71.2,28.8
2019,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,65.7,34.3
2013,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,68.7,31.3
2024,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,65.5,34.5
2015,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,63.3,36.7
2018,Emakumeen proportzioa zuzendaritza-kargudunen artean,,%,64.2,35.8
2023,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,63.5,36.5
2024,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,62.4,37.6
2020,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,73.0,27.0
2015,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,64.8,35.2
2013,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,70.7,29.3
2021,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,71.2,28.8
2019,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,71.6,28.4
2011,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,74.2,25.8
2014,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,73.5,26.5
2022,Emakumeen proportzioa zuzendaritza-kargudunen artean,Araba / Álava,%,68.7,31.3
