Year,Series,Units,Value
2017,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.06
2018,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.06
2019,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.05
2012,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.08
2020,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.05
2014,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.08
2016,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.07
2022,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.05
2015,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.07
2021,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.05
2010,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.1
2013,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.08
2011,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.08
2023,"Manufaktura-industriaren PM2,5 isuri-intentsitatea",Gramoa BPGaren euro bakoitzeko,0.05
2020,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.11
2017,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.13
2011,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.18
2010,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.2
2015,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.15
2022,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.12
2016,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.14
2018,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.16
2013,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.18
2012,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.16
2021,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.11
2019,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.14
2023,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.11
2014,Manufaktura-industriaren PM10 isuri-intentsitatea,Gramoa BPGaren euro bakoitzeko,0.18
