Year,Series,Units,Value
2014,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6842239.8
2015,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6130790.6
2016,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6943260.5
2017,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,8337348.6
2018,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,7918881.9
2019,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6109368.2
2020,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,4986517.2
2021,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,7204235.5
2022,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6880422.7
2023,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,6102050.6
2024,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina),Milioi euroak,5907395.2
