Year,Series,Sexua,Lurralde historikoa,Units,Value
2017,EU_SDG_11_52_NR,,,NR,594.0
2023,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,27.8
2016,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,27.2
2018,EU_SDG_11_52_NR,,,NR,836.0
2022,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,37.1
2021,EU_SDG_11_52_NR,,,NR,607.0
2021,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,30.0
2016,EU_SDG_11_52_NR,,,NR,560.0
2022,EU_SDG_11_52_NR,,,NR,750.0
2019,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,31.3
2019,EU_SDG_11_52_NR,,,NR,636.0
2023,EU_SDG_11_52_NR,,,NR,569.0
2015,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,39.5
2020,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,29.9
2017,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,29.0
2020,EU_SDG_11_52_NR,,,NR,606.0
2015,EU_SDG_11_52_NR,,,NR,821.0
2018,EU_SDG_11_52_PER_100000,,,100.000 biztanleko,41.1
2015,EU_SDG_11_52_NR,,Araba / Álava,NR,115.0
2017,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,23.7
2020,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,26.3
2015,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,34.8
2018,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,35.5
2016,EU_SDG_11_52_NR,,Araba / Álava,NR,79.0
2020,EU_SDG_11_52_NR,,Araba / Álava,NR,90.0
2021,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,23.0
2023,EU_SDG_11_52_NR,,Araba / Álava,NR,73.0
2017,EU_SDG_11_52_NR,,Araba / Álava,NR,79.0
2021,EU_SDG_11_52_NR,,Araba / Álava,NR,79.0
2019,EU_SDG_11_52_NR,,Araba / Álava,NR,91.0
2018,EU_SDG_11_52_NR,,Araba / Álava,NR,119.0
2023,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,21.0
2022,EU_SDG_11_52_NR,,Araba / Álava,NR,108.0
2019,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,26.9
2022,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,31.4
2016,EU_SDG_11_52_PER_100000,,Araba / Álava,100.000 biztanleko,23.9
2023,EU_SDG_11_52_NR,,Bizkaia,NR,367.0
2019,EU_SDG_11_52_NR,,Bizkaia,NR,381.0
2017,EU_SDG_11_52_NR,,Bizkaia,NR,377.0
2016,EU_SDG_11_52_PER_100000,,Bizkaia,100.000 biztanleko,33.2
