Year,Series,Sexua,Units,Value
2015,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,82.6
2012,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,85.6
2018,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,77.0
2022,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,74.2
2022,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,80.1
2015,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,86.6
2012,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,90.1
2018,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,83.6
2022,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,68.3
2015,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,78.4
2018,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,70.2
2012,Irakurmenean gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,81.1
2015,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,80.5
2012,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,84.5
2018,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,81.9
2022,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,,%,77.3
2018,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,83.4
2022,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,78.0
2012,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,83.4
2015,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Emakumea,%,79.9
2018,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,80.3
2015,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,81.1
2012,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,85.6
2022,Matematikan gutxienez 2. gaitasun-maila lortu duten 15 urteko pertsonen proportzioa,Gizona,%,76.7
