Year,Series,Units,Value
2017,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,96.0
2016,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,95.5
2018,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,95.2
2020,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,99.4
2019,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,97.0
2021,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,98.1
2015,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,94.7
2022,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria),%,94.9
2016,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,79.1
2017,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,77.9
2021,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,82.9
2015,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,79.4
2018,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,80.9
2019,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,82.7
2020,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,81.5
2022,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria),%,84.7
