Year,ServBasico,Units,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,Value
2023,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2013,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2015,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2021,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2012,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2010,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2018,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2019,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2025,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2014,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2016,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2017,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2022,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2024,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2020,Elektrizitaterako sarbidea duten eskolen proportzioa,%,,,,,,,,,,100.0
2013,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,100.0
2015,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,100.0
2017,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,100.0
2021,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,99.9
2014,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,100.0
2023,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,99.9
2019,Interneterako konexioa duten eskolen proportzioa,%,,,,,,,,,,99.9
