Year,Series,Lurralde historikoa,Units,Progress,Value
2010,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,54.7,45.3
2014,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,49.3
2023,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,49.3
2016,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,53.3,53.3
2021,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,50.7
2024,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,52.0,52.0
2017,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,53.3,53.3
2011,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,54.7,45.3
2022,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,50.7
2015,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,49.3
2020,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,50.7
2012,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,49.3
2019,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,53.3,53.3
2025,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,53.3,53.3
2013,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,50.7,49.3
2018,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,,%,53.3,53.3
2022,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,54.5,45.5
2013,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2011,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2025,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,53.3,46.7
2019,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,63.6,63.6
2014,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2018,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,58.3,41.7
2017,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,58.3,41.7
2021,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,54.5,45.5
2020,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,54.5,45.5
2023,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,54.5,45.5
2012,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2016,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2024,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,53.3,46.7
2015,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,50.0,50.0
2010,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,,%,54.5,45.5
2021,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,54.2,54.2
2018,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.9,48.1
2012,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2015,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.9,48.1
2022,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,54.2,54.2
2014,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2020,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,54.2,54.2
2016,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.9,48.1
2025,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,55.6,44.4
2013,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2011,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2024,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2023,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.6,48.4
2010,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,58.8,41.2
2017,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,51.9,48.1
2019,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,,%,54.2,54.2
2018,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,54.9,45.1
2020,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.9,56.9
2025,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.9,43.1
2014,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,51.0,51.0
2024,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.8,43.2
2023,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.8,43.2
2016,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,54.9,45.1
2022,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.9,56.9
2021,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.9,56.9
2019,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,56.9,56.9
2017,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,54.9,45.1
2015,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,54.9,45.1
2013,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,51.0,51.0
2011,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,51.0,51.0
2012,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,51.0,51.0
2010,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Araba / Álava,%,58.8,41.2
2014,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,51.0,49.0
2012,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,51.0,49.0
2016,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,50.0,50.0
2015,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,50.0,50.0
2018,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,50.0,50.0
2019,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.9,54.9
2020,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.9,54.9
2021,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.9,54.9
2023,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.7,54.7
2024,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.7,54.7
2025,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,56.9,43.1
2022,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,54.9,54.9
2017,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,50.0,50.0
2013,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,51.0,49.0
2011,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,51.0,49.0
2010,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Gipuzkoa,%,56.9,43.1
2016,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,49.0
2018,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,49.0
2014,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,54.9,45.1
2025,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,52.9,47.1
2020,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,51.0
2019,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,51.0
2017,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,49.0
2015,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,49.0
2013,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,54.9,45.1
2011,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,54.9,45.1
2012,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,54.9,45.1
2010,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,60.8,39.2
2024,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,53.6,46.4
2023,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,53.6,46.4
2022,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,51.0
2021,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean,Bizkaia,%,51.0,51.0
2023,Emakumezkoen proportzioa Foru Diputatuen artean,,%,66.7,66.7
2022,Emakumezkoen proportzioa Foru Diputatuen artean,,%,51.7,51.7
2021,Emakumezkoen proportzioa Foru Diputatuen artean,,%,55.2,55.2
2019,Emakumezkoen proportzioa Foru Diputatuen artean,,%,55.2,55.2
2018,Emakumezkoen proportzioa Foru Diputatuen artean,,%,50.0,50.0
2017,Emakumezkoen proportzioa Foru Diputatuen artean,,%,50.0,50.0
2015,Emakumezkoen proportzioa Foru Diputatuen artean,,%,50.0,50.0
2014,Emakumezkoen proportzioa Foru Diputatuen artean,,%,57.7,42.3
2013,Emakumezkoen proportzioa Foru Diputatuen artean,,%,57.7,42.3
2012,Emakumezkoen proportzioa Foru Diputatuen artean,,%,57.7,42.3
2011,Emakumezkoen proportzioa Foru Diputatuen artean,,%,57.7,42.3
2010,Emakumezkoen proportzioa Foru Diputatuen artean,,%,63.6,36.4
2016,Emakumezkoen proportzioa Foru Diputatuen artean,,%,50.0,50.0
2020,Emakumezkoen proportzioa Foru Diputatuen artean,,%,55.2,55.2
2024,Emakumezkoen proportzioa Foru Diputatuen artean,,%,66.7,66.7
2025,Emakumezkoen proportzioa Foru Diputatuen artean,,%,66.7,66.7
2025,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,60.0,60.0
2024,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2023,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2022,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,55.6,55.6
2021,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,66.7,66.7
2020,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,66.7,66.7
2019,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,66.7,66.7
2018,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2017,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2016,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2015,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2014,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2013,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2012,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2011,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,50.0,50.0
2010,Emakumezkoen proportzioa Foru Diputatuen artean,Araba / Álava,%,60.0,40.0
2025,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,60.0,60.0
2024,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,70.0,70.0
2023,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,70.0,70.0
2022,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,50.0,50.0
2021,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,50.0,50.0
2020,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,50.0,50.0
2019,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,50.0,50.0
2018,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,55.6,44.4
2017,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,55.6,44.4
2016,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,55.6,44.4
2015,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,55.6,44.4
2014,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,62.5,37.5
2013,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,62.5,37.5
2012,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,62.5,37.5
2011,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,62.5,37.5
2010,Emakumezkoen proportzioa Foru Diputatuen artean,Gipuzkoa,%,63.6,36.4
2025,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,80.0,80.0
2024,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,80.0,80.0
2023,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,80.0,80.0
2022,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,50.0,50.0
2021,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,50.0,50.0
2020,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,50.0,50.0
2019,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,50.0,50.0
2018,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,55.6,55.6
2017,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,55.6,55.6
2016,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,55.6,55.6
2015,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,55.6,55.6
2014,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,60.0,40.0
2013,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,60.0,40.0
2012,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,60.0,40.0
2011,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,60.0,40.0
2010,Emakumezkoen proportzioa Foru Diputatuen artean,Bizkaia,%,66.7,33.3
2025,Emakumezkoen proportzioa zinegotzien artean,,%,53.2,46.8
2024,Emakumezkoen proportzioa zinegotzien artean,,%,53.5,46.5
2023,Emakumezkoen proportzioa zinegotzien artean,,%,51.7,48.3
2022,Emakumezkoen proportzioa zinegotzien artean,,%,52.5,47.5
2021,Emakumezkoen proportzioa zinegotzien artean,,%,52.5,47.5
2020,Emakumezkoen proportzioa zinegotzien artean,,%,52.2,47.8
2019,Emakumezkoen proportzioa zinegotzien artean,,%,52.2,47.8
2018,Emakumezkoen proportzioa zinegotzien artean,,%,58.6,41.4
2017,Emakumezkoen proportzioa zinegotzien artean,,%,58.6,41.4
2016,Emakumezkoen proportzioa zinegotzien artean,,%,58.6,41.4
2015,Emakumezkoen proportzioa zinegotzien artean,,%,58.6,41.4
2014,Emakumezkoen proportzioa zinegotzien artean,,%,59.7,40.3
2013,Emakumezkoen proportzioa zinegotzien artean,,%,59.5,40.5
2012,Emakumezkoen proportzioa zinegotzien artean,,%,59.6,40.4
2011,Emakumezkoen proportzioa zinegotzien artean,,%,59.6,40.4
2010,Emakumezkoen proportzioa zinegotzien artean,,%,72.2,27.8
2024,Emakumezkoen proportzioa alkateen artean,,%,65.7,34.3
2023,Emakumezkoen proportzioa alkateen artean,,%,66.9,33.1
2022,Emakumezkoen proportzioa alkateen artean,,%,69.7,30.3
2021,Emakumezkoen proportzioa alkateen artean,,%,69.7,30.3
2020,Emakumezkoen proportzioa alkateen artean,,%,70.8,29.2
2019,Emakumezkoen proportzioa alkateen artean,,%,70.8,29.2
2018,Emakumezkoen proportzioa alkateen artean,,%,74.8,25.2
2017,Emakumezkoen proportzioa alkateen artean,,%,74.8,25.2
2016,Emakumezkoen proportzioa alkateen artean,,%,74.8,25.2
2015,Emakumezkoen proportzioa alkateen artean,,%,74.8,25.2
2014,Emakumezkoen proportzioa alkateen artean,,%,76.9,23.1
2013,Emakumezkoen proportzioa alkateen artean,,%,77.7,22.3
2012,Emakumezkoen proportzioa alkateen artean,,%,78.0,22.0
2011,Emakumezkoen proportzioa alkateen artean,,%,78.0,22.0
2010,Emakumezkoen proportzioa alkateen artean,,%,80.1,19.9
2025,Emakumezkoen proportzioa alkateen artean,,%,64.3,35.7
