Year,Okupazioa,Lurralde historikoa,Units,Progress,Value
2018,Zuzendaritza-kargua,,%,64.2,35.8
2022,Zuzendaritza-kargua,,%,67.7,32.3
2021,Zuzendaritza-kargua,,%,67.7,32.3
2017,Zuzendaritza-kargua,,%,64.4,35.6
2015,Zuzendaritza-kargua,,%,63.3,36.7
2012,Zuzendaritza-kargua,,%,71.0,29.0
2011,Zuzendaritza-kargua,,%,68.3,31.7
2013,Zuzendaritza-kargua,,%,68.7,31.3
2019,Zuzendaritza-kargua,,%,65.7,34.3
2023,Zuzendaritza-kargua,,%,66.1,33.9
2024,Zuzendaritza-kargua,,%,65.5,34.5
2014,Zuzendaritza-kargua,,%,71.3,28.7
2010,Zuzendaritza-kargua,,%,71.2,28.8
2020,Zuzendaritza-kargua,,%,68.2,31.8
2016,Zuzendaritza-kargua,,%,65.3,34.7
2011,Zuzendaritza-kargua,Araba / Álava,%,74.2,25.8
2016,Zuzendaritza-kargua,Araba / Álava,%,72.4,27.6
2019,Zuzendaritza-kargua,Araba / Álava,%,71.6,28.4
2012,Zuzendaritza-kargua,Araba / Álava,%,75.2,24.8
2023,Zuzendaritza-kargua,Araba / Álava,%,63.5,36.5
2024,Zuzendaritza-kargua,Araba / Álava,%,62.4,37.6
2018,Zuzendaritza-kargua,Araba / Álava,%,60.6,39.4
2015,Zuzendaritza-kargua,Araba / Álava,%,64.8,35.2
2010,Zuzendaritza-kargua,Araba / Álava,%,71.6,28.4
2021,Zuzendaritza-kargua,Araba / Álava,%,71.2,28.8
2020,Zuzendaritza-kargua,Araba / Álava,%,73.0,27.0
2017,Zuzendaritza-kargua,Araba / Álava,%,63.8,36.2
2013,Zuzendaritza-kargua,Araba / Álava,%,70.7,29.3
2022,Zuzendaritza-kargua,Araba / Álava,%,68.7,31.3
2014,Zuzendaritza-kargua,Araba / Álava,%,73.5,26.5
2013,Zuzendaritza-kargua,Bizkaia,%,69.4,30.6
2023,Zuzendaritza-kargua,Bizkaia,%,64.3,35.7
2020,Zuzendaritza-kargua,Bizkaia,%,68.5,31.5
2018,Zuzendaritza-kargua,Bizkaia,%,64.5,35.5
2015,Zuzendaritza-kargua,Bizkaia,%,62.9,37.1
2022,Zuzendaritza-kargua,Bizkaia,%,65.5,34.5
2021,Zuzendaritza-kargua,Bizkaia,%,69.8,30.2
2024,Zuzendaritza-kargua,Bizkaia,%,66.4,33.6
2012,Zuzendaritza-kargua,Bizkaia,%,70.6,29.4
2014,Zuzendaritza-kargua,Bizkaia,%,73.2,26.8
2019,Zuzendaritza-kargua,Bizkaia,%,64.7,35.3
2016,Zuzendaritza-kargua,Bizkaia,%,65.3,34.7
2011,Zuzendaritza-kargua,Bizkaia,%,66.8,33.2
2010,Zuzendaritza-kargua,Bizkaia,%,69.6,30.4
2017,Zuzendaritza-kargua,Bizkaia,%,64.5,35.5
2012,Zuzendaritza-kargua,Gipuzkoa,%,69.6,30.4
2024,Zuzendaritza-kargua,Gipuzkoa,%,65.2,34.8
2022,Zuzendaritza-kargua,Gipuzkoa,%,70.2,29.8
2016,Zuzendaritza-kargua,Gipuzkoa,%,61.4,38.6
2019,Zuzendaritza-kargua,Gipuzkoa,%,65.3,34.7
2011,Zuzendaritza-kargua,Gipuzkoa,%,69.0,31.0
2018,Zuzendaritza-kargua,Gipuzkoa,%,65.0,35.0
2023,Zuzendaritza-kargua,Gipuzkoa,%,69.7,30.3
2014,Zuzendaritza-kargua,Gipuzkoa,%,67.5,32.5
2010,Zuzendaritza-kargua,Gipuzkoa,%,73.6,26.4
2020,Zuzendaritza-kargua,Gipuzkoa,%,65.7,34.3
2021,Zuzendaritza-kargua,Gipuzkoa,%,63.0,37.0
2017,Zuzendaritza-kargua,Gipuzkoa,%,64.6,35.4
2015,Zuzendaritza-kargua,Gipuzkoa,%,63.4,36.6
2013,Zuzendaritza-kargua,Gipuzkoa,%,66.7,33.3
