Year,Value,Units,Series
2014,6842239.8,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2015,6130790.6,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2016,6943260.5,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2017,8337348.6,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2018,7918881.9,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2019,6109368.2,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2020,4986517.2,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2021,7204235.5,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2022,6880422.7,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2023,6102050.6,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
2024,5907395.2,Milioi euroak,Pobrezia murriztera bideratutako garapenerako laguntza ofiziala (guztizko ordainketa gordina)
