Year,Value,Units,Series
2017,594.0,NR,EU_SDG_11_52_NR
2023,27.8,100.000 biztanleko,EU_SDG_11_52_PER_100000
2016,27.2,100.000 biztanleko,EU_SDG_11_52_PER_100000
2018,836.0,NR,EU_SDG_11_52_NR
2022,37.1,100.000 biztanleko,EU_SDG_11_52_PER_100000
2021,607.0,NR,EU_SDG_11_52_NR
2021,30.0,100.000 biztanleko,EU_SDG_11_52_PER_100000
2016,560.0,NR,EU_SDG_11_52_NR
2022,750.0,NR,EU_SDG_11_52_NR
2019,31.3,100.000 biztanleko,EU_SDG_11_52_PER_100000
2019,636.0,NR,EU_SDG_11_52_NR
2023,569.0,NR,EU_SDG_11_52_NR
2015,39.5,100.000 biztanleko,EU_SDG_11_52_PER_100000
2020,29.9,100.000 biztanleko,EU_SDG_11_52_PER_100000
2017,29.0,100.000 biztanleko,EU_SDG_11_52_PER_100000
2020,606.0,NR,EU_SDG_11_52_NR
2015,821.0,NR,EU_SDG_11_52_NR
2018,41.1,100.000 biztanleko,EU_SDG_11_52_PER_100000
