Year,Value,Units,Series
2023,95.9,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2018,92.5,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2021,90.8,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2017,93.0,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2020,85.5,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2022,94.2,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2019,93.1,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2024,95.2,%,"Difteria, tetanosa eta kukutxeztula haurrengan"
2023,95.8,%,Gaixotasun pneumokozikoa haurrengan
2020,85.4,%,Gaixotasun pneumokozikoa haurrengan
2021,90.6,%,Gaixotasun pneumokozikoa haurrengan
2019,93.3,%,Gaixotasun pneumokozikoa haurrengan
2022,94.2,%,Gaixotasun pneumokozikoa haurrengan
2017,88.3,%,Gaixotasun pneumokozikoa haurrengan
2018,91.3,%,Gaixotasun pneumokozikoa haurrengan
2024,94.9,%,Gaixotasun pneumokozikoa haurrengan
2017,94.7,%,"Elgorria, parotiditis eta errubeola haurrengan"
2019,94.2,%,"Elgorria, parotiditis eta errubeola haurrengan"
2018,93.5,%,"Elgorria, parotiditis eta errubeola haurrengan"
2020,90.2,%,"Elgorria, parotiditis eta errubeola haurrengan"
2021,83.3,%,"Elgorria, parotiditis eta errubeola haurrengan"
2023,92.4,%,"Elgorria, parotiditis eta errubeola haurrengan"
2022,88.1,%,"Elgorria, parotiditis eta errubeola haurrengan"
2024,88.0,%,"Elgorria, parotiditis eta errubeola haurrengan"
2017,93.4,%,Giza papilomaren birusa (GPB) nerabeetan
2018,92.6,%,Giza papilomaren birusa (GPB) nerabeetan
2019,85.5,%,Giza papilomaren birusa (GPB) nerabeetan
2020,88.5,%,Giza papilomaren birusa (GPB) nerabeetan
2023,90.9,%,Giza papilomaren birusa (GPB) nerabeetan
2021,69.1,%,Giza papilomaren birusa (GPB) nerabeetan
2022,85.3,%,Giza papilomaren birusa (GPB) nerabeetan
2024,91.8,%,Giza papilomaren birusa (GPB) nerabeetan
