Year,Value,Units,Series,Progress
2010,45.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,54.7
2014,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2023,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2016,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,53.3
2021,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2024,52.0,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,52.0
2017,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,53.3
2011,45.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,54.7
2022,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2015,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2020,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2012,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2019,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,53.3
2025,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,53.3
2013,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,50.7
2018,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean,53.3
2022,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,54.5
2013,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,50.0
2011,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,50.0
2025,46.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,53.3
2019,63.6,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,63.6
2014,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,50.0
2018,41.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,58.3
2017,41.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,58.3
2021,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,54.5
2020,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,54.5
2023,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,54.5
2012,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,50.0
2016,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean,50.0
