Year,Value,Units,Series
2017,0.06,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2018,0.06,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2019,0.05,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2012,0.08,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2020,0.05,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2014,0.08,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2016,0.07,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2022,0.05,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2015,0.07,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2021,0.05,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2010,0.1,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2013,0.08,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2011,0.08,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2023,0.05,Gramoa BPGaren euro bakoitzeko,"Manufaktura-industriaren PM2,5 isuri-intentsitatea"
2020,0.11,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2017,0.13,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2011,0.18,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2010,0.2,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2015,0.15,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2022,0.12,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2016,0.14,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2018,0.16,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2013,0.18,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2012,0.16,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2021,0.11,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2019,0.14,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2023,0.11,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
2014,0.18,Gramoa BPGaren euro bakoitzeko,Manufaktura-industriaren PM10 isuri-intentsitatea
