source_key,source_label,organisation,url,indicator_id
FUENTE.ELIKA_xahu,Análisis del Desperdicio Alimentario en la Cadena Agroalimentaria de Euskadi,ELIKA,https://zerodespilfarro.elika.eus/wp-content/uploads/2023/03/Resumen-Diagnostico-Desperdicio-Euskadi_2022.pdf,12-3-1
FUENTE.BE_bp,Balanza de pagos,Banco de España,https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-17.html,17-13-1
FUENTE.BE_bp,Balanza de pagos,Banco de España,https://www.bde.es/webbe/es/estadisticas/otras-clasificaciones/publicaciones/boletin-estadistico/capitulo-17.html,17-3-2
FUENTE.GE_Territorial_bep,Boletín estadístico del personal al servicio de las administraciones públicas,Ministerio de Política Territorial y Memoria Democrática,https://digital.gob.es/funcion-publica/dgfp/registro-central-personal/boletin.html,16-7-1
FUENTE.GE_Sanidad_cach,Calidad de las Aguas de Consumo Humano,Ministerio de Sanidad,https://www.miteco.gob.es/es/agua/temas/estado-y-calidad-de-las-aguas/aguas-superficiales/programas-seguimiento/control-adiciona-zonas-protegidas-abastecimientos.html,OCECA-6-1-1
FUENTE.Eustat_cca,Censo agrario,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_260/opt_1/temas.html,5-a-1
FUENTE.Eustat_cempa,Censo de población y viviendas. Actividad,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_276/opt_1/temas.html,8-5-2
FUENTE.Eustat_cempa,Censo de población y viviendas. Actividad,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_276/opt_1/temas.html,8-5-E1
FUENTE.Eustat_ceme,Censo de población y viviendas. Educación,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_271/opt_1/temas.html,4-2-2
FUENTE.Eustat_emh,Censo de población y viviendas. Estructura de la población,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_268/opt_1/temas.html,1-3-1
FUENTE.Eustat_cemv,Censo de población y viviendas. Viviendas,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_274/opt_1/temas.html,1-4-1
FUENTE.Eustat_cemv,Censo de población y viviendas. Viviendas,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_274/opt_1/temas.html,6-2-1
FUENTE.Eustat_cepv,Censos de población y viviendas,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_25/opt_1/temas.html,17-19-2
FUENTE.GE_Transformacion_cba,Cobertura de banda ancha en España,Ministerio para la Transformación Digital y de la Función Pública,https://avance.digital.gob.es/banda-ancha/Paginas/Index.aspx,9-c-1
FUENTE.GE_Transicion_convagua,Convenios y acuerdos internacionales relacionados con los recursos hídricos y su gestión,Ministerio para la Transición Ecológica y el Reto Demográfico,https://www.miteco.gob.es/eu/agua/temas/convenios-acuerdos-internacionales.html,6-5-2
FUENTE.Eustat_cedu,Cuenta de la Educación,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_302/opt_0/temas.html,1-a-2
FUENTE.Eustat_cedu,Cuenta de la Educación,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_302/opt_0/temas.html,OCECA-1-a-2-1
FUENTE.Eustat_cseepros,Cuenta de la Protección Social,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_94/opt_0/temas.html,1-a-2
FUENTE.Eustat_ccs,Cuenta de la Salud,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_121/opt_0/temas.html,1-a-2
FUENTE.Eustat_ccs,Cuenta de la Salud,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_121/opt_0/temas.html,OCECA-1-a-2-2
FUENTE.Eustat_ceap,Cuenta de las Administraciones Públicas,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_149/opt_1/temas.html,1-a-2
