Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2019,GF_XPD_GBPC,,,,PT,,102.16,102.16
2020,GF_XPD_GBPC,,,,PT,,100.05,100.05
2017,GF_XPD_GBPC,,,,PT,,102.13,97.87
2022,GF_XPD_GBPC,,,,PT,,104.68,104.68
2021,GF_XPD_GBPC,,,,PT,,102.22,102.22
2018,GF_XPD_GBPC,,,,PT,,101.47,98.53
2023,GF_XPD_GBPC,,,,PT,,101.1,101.1
2016,GF_XPD_GBPC,,,,PT,,105.2,94.8
2023,EU_XPD_LOCALGBPC,,,,PT,,103.31,103.31
2010,EU_XPD_LOCALGBPC,,,,PT,,110.23,110.23
2016,EU_XPD_LOCALGBPC,,,,PT,,102.63,97.37
2021,EU_XPD_LOCALGBPC,,,,PT,,100.78,99.22
2017,EU_XPD_LOCALGBPC,,,,PT,,103.22,96.78
2011,EU_XPD_LOCALGBPC,,,,PT,,100.45,100.45
2020,EU_XPD_LOCALGBPC,,,,PT,,106.16,93.84
2014,EU_XPD_LOCALGBPC,,,,PT,,101.53,98.47
2022,EU_XPD_LOCALGBPC,,,,PT,,100.26,100.26
2019,EU_XPD_LOCALGBPC,,,,PT,,100.27,100.27
2015,EU_XPD_LOCALGBPC,,,,PT,,101.95,98.05
2013,EU_XPD_LOCALGBPC,,,,PT,,100.2,100.2
2012,EU_XPD_LOCALGBPC,,,,PT,,106.97,93.03
2018,EU_XPD_LOCALGBPC,,,,PT,,102.83,97.17
2015,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,104.17,95.83
2010,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,105.91,94.09
2013,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,106.02,93.98
2021,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,106.72,93.28
2018,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,102.23,97.77
2016,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,101.05,98.95
2014,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,112.36,112.36
2023,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,109.33,109.33
2019,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,107.01,107.01
2020,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,116.89,83.11
2011,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,103.15,103.15
2017,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,105.23,94.77
2022,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,120.7,120.7
2012,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,107.87,92.13
2014,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,116.37,116.37
2022,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,100.95,100.95
2018,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,148.95,148.95
2023,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,100.88,99.12
2021,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,106.61,106.61
2012,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,127.06,72.94
2015,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,120.05,120.05
2019,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,102.68,102.68
2010,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,121.42,78.58
2013,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,168.2,168.2
2016,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,112.42,112.42
2020,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,145.46,145.46
2011,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,102.17,97.83
2017,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,112.42,87.58
2021,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,107.47,92.53
2012,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,102.45,97.55
2015,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,110.54,110.54
2010,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,105.57,94.43
2022,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.44,101.44
2023,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,103.44,96.56
2014,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,104.67,95.33
2011,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,105.97,105.97
2019,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.5,100.5
2018,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.15,100.15
2013,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,104.61,95.39
2017,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.34,101.34
2016,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.47,101.47
