Year,Series,Units,Value
2017,EU_SE_TOT_CPLR_2,PT,96.0
2016,EU_SE_TOT_CPLR_2,PT,95.5
2018,EU_SE_TOT_CPLR_2,PT,95.2
2020,EU_SE_TOT_CPLR_2,PT,99.4
2019,EU_SE_TOT_CPLR_2,PT,97.0
2021,EU_SE_TOT_CPLR_2,PT,98.1
2015,EU_SE_TOT_CPLR_2,PT,94.7
2022,EU_SE_TOT_CPLR_2,PT,94.9
2016,EU_SE_TOT_CPLR_3,PT,79.1
2017,EU_SE_TOT_CPLR_3,PT,77.9
2021,EU_SE_TOT_CPLR_3,PT,82.9
2015,EU_SE_TOT_CPLR_3,PT,79.4
2018,EU_SE_TOT_CPLR_3,PT,80.9
2019,EU_SE_TOT_CPLR_3,PT,82.7
2020,EU_SE_TOT_CPLR_3,PT,81.5
2022,EU_SE_TOT_CPLR_3,PT,84.7
