Year,Series,Territorio,Units,Progress,Value
2022,EU_GPI_TRN,,RO,1.07,1.07
2011,EU_GPI_TRN,,RO,1.17,1.17
2016,EU_GPI_TRN,,RO,1.0,1.0
2022,EU_SESPI,,RO,1.6666666666666667,0.6
2016,EU_SESPI,,RO,1.6666666666666667,0.6
2011,EU_SESPI,,RO,1.5625,0.64
2016,EU_PI_HEALTH,,RO,1.5151515151515151,0.66
2022,EU_PI_HEALTH,,RO,1.4285714285714286,0.7
2021,EU_RUPI_TRN,,RO,1.02,1.02
2015,EU_RUPI_TRN,,RO,1.0989010989010988,0.91
2014,EU_RUPI_TRN,,RO,1.0989010989010988,0.91
2010,EU_RUPI_TRN,,RO,1.0101010101010102,0.99
2019,EU_RUPI_TRN,,RO,1.1111111111111112,0.9
2022,EU_RUPI_TRN,,RO,1.01,1.01
2016,EU_RUPI_TRN,,RO,1.0638297872340423,0.94
2018,EU_RUPI_TRN,,RO,1.1363636363636365,0.88
2024,EU_RUPI_TRN,,RO,1.0309278350515465,0.97
2017,EU_RUPI_TRN,,RO,1.0869565217391304,0.92
2020,EU_RUPI_TRN,,RO,1.0101010101010102,0.99
2013,EU_RUPI_TRN,,RO,1.075268817204301,0.93
2012,EU_RUPI_TRN,,RO,1.020408163265306,0.98
2011,EU_RUPI_TRN,,RO,1.0416666666666667,0.96
2023,EU_RUPI_TRN,,RO,1.02,1.02
2019,EU_RUPI_TRN,ES211,RO,1.0416666666666667,0.96
2011,EU_RUPI_TRN,ES211,RO,1.4705882352941175,0.68
2018,EU_RUPI_TRN,ES211,RO,1.03,1.03
2017,EU_RUPI_TRN,ES211,RO,1.1904761904761905,0.84
2016,EU_RUPI_TRN,ES211,RO,1.075268817204301,0.93
2010,EU_RUPI_TRN,ES211,RO,2.3255813953488373,0.43
2015,EU_RUPI_TRN,ES211,RO,1.0416666666666667,0.96
2014,EU_RUPI_TRN,ES211,RO,1.4285714285714286,0.7
2024,EU_RUPI_TRN,ES211,RO,1.1111111111111112,0.9
2023,EU_RUPI_TRN,ES211,RO,1.1235955056179776,0.89
2013,EU_RUPI_TRN,ES211,RO,1.2987012987012987,0.77
2022,EU_RUPI_TRN,ES211,RO,1.1764705882352942,0.85
2021,EU_RUPI_TRN,ES211,RO,1.0989010989010988,0.91
2012,EU_RUPI_TRN,ES211,RO,1.25,0.8
2020,EU_RUPI_TRN,ES211,RO,1.1764705882352942,0.85
2020,EU_RUPI_TRN,ES212,RO,1.0638297872340423,0.94
2019,EU_RUPI_TRN,ES212,RO,1.0989010989010988,0.91
2018,EU_RUPI_TRN,ES212,RO,1.162790697674419,0.86
2017,EU_RUPI_TRN,ES212,RO,1.0869565217391304,0.92
2016,EU_RUPI_TRN,ES212,RO,1.0101010101010102,0.99
2015,EU_RUPI_TRN,ES212,RO,1.0989010989010988,0.91
2014,EU_RUPI_TRN,ES212,RO,1.1111111111111112,0.9
2013,EU_RUPI_TRN,ES212,RO,1.01,1.01
2012,EU_RUPI_TRN,ES212,RO,1.0,1.0
2011,EU_RUPI_TRN,ES212,RO,1.0989010989010988,0.91
2010,EU_RUPI_TRN,ES212,RO,1.0526315789473684,0.95
2024,EU_RUPI_TRN,ES212,RO,1.04,1.04
2023,EU_RUPI_TRN,ES212,RO,1.1,1.1
2022,EU_RUPI_TRN,ES212,RO,1.11,1.11
2021,EU_RUPI_TRN,ES212,RO,1.03,1.03
2024,EU_RUPI_TRN,ES213,RO,1.0638297872340423,0.94
2023,EU_RUPI_TRN,ES213,RO,1.0101010101010102,0.99
2022,EU_RUPI_TRN,ES213,RO,1.0101010101010102,0.99
2021,EU_RUPI_TRN,ES213,RO,1.05,1.05
2020,EU_RUPI_TRN,ES213,RO,1.05,1.05
2019,EU_RUPI_TRN,ES213,RO,1.1235955056179776,0.89
2018,EU_RUPI_TRN,ES213,RO,1.162790697674419,0.86
2017,EU_RUPI_TRN,ES213,RO,1.0526315789473684,0.95
2016,EU_RUPI_TRN,ES213,RO,1.1111111111111112,0.9
2015,EU_RUPI_TRN,ES213,RO,1.1363636363636365,0.88
2014,EU_RUPI_TRN,ES213,RO,1.0101010101010102,0.99
2013,EU_RUPI_TRN,ES213,RO,1.075268817204301,0.93
2012,EU_RUPI_TRN,ES213,RO,1.020408163265306,0.98
2011,EU_RUPI_TRN,ES213,RO,1.05,1.05
2010,EU_RUPI_TRN,ES213,RO,1.14,1.14
