Year,Series,Units,Value
2010,SE_ACS_ELECT,PT,100.0
2011,SE_ACS_ELECT,PT,100.0
2025,SE_ACS_ELECT,PT,100.0
2022,SE_ACS_ELECT,PT,100.0
2018,SE_ACS_ELECT,PT,100.0
2014,SE_ACS_ELECT,PT,100.0
2016,SE_ACS_ELECT,PT,100.0
2013,SE_ACS_ELECT,PT,100.0
2012,SE_ACS_ELECT,PT,100.0
2024,SE_ACS_ELECT,PT,100.0
2017,SE_ACS_ELECT,PT,100.0
2023,SE_ACS_ELECT,PT,100.0
2021,SE_ACS_ELECT,PT,100.0
2020,SE_ACS_ELECT,PT,100.0
2019,SE_ACS_ELECT,PT,100.0
2015,SE_ACS_ELECT,PT,100.0
2011,SE_ACS_INTNT,PT,100.0
2013,SE_ACS_INTNT,PT,100.0
2016,SE_ACS_INTNT,PT,100.0
2019,SE_ACS_INTNT,PT,99.9
2021,SE_ACS_INTNT,PT,99.9
2017,SE_ACS_INTNT,PT,100.0
2014,SE_ACS_INTNT,PT,100.0
2012,SE_ACS_INTNT,PT,100.0
2010,SE_ACS_INTNT,PT,100.0
2023,SE_ACS_INTNT,PT,99.9
2015,SE_ACS_INTNT,PT,100.0
2013,SE_ACS_SANIT,PT,100.0
2012,SE_ACS_SANIT,PT,100.0
2021,SE_ACS_SANIT,PT,100.0
2010,SE_ACS_SANIT,PT,100.0
2018,SE_ACS_SANIT,PT,100.0
2016,SE_ACS_SANIT,PT,100.0
2015,SE_ACS_SANIT,PT,100.0
2014,SE_ACS_SANIT,PT,100.0
2017,SE_ACS_SANIT,PT,100.0
2019,SE_ACS_SANIT,PT,100.0
2025,SE_ACS_SANIT,PT,100.0
2020,SE_ACS_SANIT,PT,100.0
2022,SE_ACS_SANIT,PT,100.0
2011,SE_ACS_SANIT,PT,100.0
2023,SE_ACS_SANIT,PT,100.0
2024,SE_ACS_SANIT,PT,100.0
2014,SE_ACS_H2O,PT,100.0
2011,SE_ACS_H2O,PT,100.0
2010,SE_ACS_H2O,PT,100.0
2012,SE_ACS_H2O,PT,100.0
2024,SE_ACS_H2O,PT,100.0
2013,SE_ACS_H2O,PT,100.0
2016,SE_ACS_H2O,PT,100.0
2015,SE_ACS_H2O,PT,100.0
2020,SE_ACS_H2O,PT,100.0
2022,SE_ACS_H2O,PT,100.0
2017,SE_ACS_H2O,PT,100.0
2018,SE_ACS_H2O,PT,100.0
2019,SE_ACS_H2O,PT,100.0
2021,SE_ACS_H2O,PT,100.0
2023,SE_ACS_H2O,PT,100.0
2025,SE_ACS_H2O,PT,100.0
2010,SE_ACS_HNDWSH,PT,100.0
2011,SE_ACS_HNDWSH,PT,100.0
2014,SE_ACS_HNDWSH,PT,100.0
2012,SE_ACS_HNDWSH,PT,100.0
2013,SE_ACS_HNDWSH,PT,100.0
2015,SE_ACS_HNDWSH,PT,100.0
2016,SE_ACS_HNDWSH,PT,100.0
2024,SE_ACS_HNDWSH,PT,100.0
2020,SE_ACS_HNDWSH,PT,100.0
2017,SE_ACS_HNDWSH,PT,100.0
2018,SE_ACS_HNDWSH,PT,100.0
2019,SE_ACS_HNDWSH,PT,100.0
2021,SE_ACS_HNDWSH,PT,100.0
2022,SE_ACS_HNDWSH,PT,100.0
2023,SE_ACS_HNDWSH,PT,100.0
2025,SE_ACS_HNDWSH,PT,100.0
