Year,Series,Sexo,Territorio,Units,Progress,Value
2018,SL_DOM_TSPD,,,MN,1.9174311926605505,161.0
2023,SL_DOM_TSPD,,,MN,1.4615384615384617,161.0
2013,SL_DOM_TSPD,,,MN,1.8983050847457628,173.0
2018,SL_DOM_TSPD,,ES211,MN,1.9174311926605505,166.0
2023,SL_DOM_TSPD,,ES211,MN,1.4615384615384617,161.0
2013,SL_DOM_TSPD,,ES211,MN,1.8983050847457628,175.0
2018,SL_DOM_TSPD,,ES213,MN,1.9174311926605505,160.0
2023,SL_DOM_TSPD,,ES213,MN,1.4615384615384617,164.0
2013,SL_DOM_TSPD,,ES213,MN,1.8983050847457628,176.0
2018,SL_DOM_TSPD,,ES212,MN,1.9174311926605505,158.0
2013,SL_DOM_TSPD,,ES212,MN,1.8983050847457628,166.0
2023,SL_DOM_TSPD,,ES212,MN,1.4615384615384617,157.0
2013,SL_DOM_TSPD,F,,MN,,224.0
2023,SL_DOM_TSPD,F,,MN,,190.0
2018,SL_DOM_TSPD,F,,MN,,209.0
2023,SL_DOM_TSPD,F,ES211,MN,,197.0
2013,SL_DOM_TSPD,F,ES211,MN,,223.0
2018,SL_DOM_TSPD,F,ES211,MN,,217.0
2013,SL_DOM_TSPD,F,ES213,MN,,229.0
2018,SL_DOM_TSPD,F,ES213,MN,,208.0
2023,SL_DOM_TSPD,F,ES213,MN,,190.0
2018,SL_DOM_TSPD,F,ES212,MN,,206.0
2013,SL_DOM_TSPD,F,ES212,MN,,217.0
2023,SL_DOM_TSPD,F,ES212,MN,,187.0
2018,SL_DOM_TSPD,M,,MN,,109.0
2013,SL_DOM_TSPD,M,,MN,,118.0
2023,SL_DOM_TSPD,M,,MN,,130.0
2018,SL_DOM_TSPD,M,ES211,MN,,111.0
2023,SL_DOM_TSPD,M,ES211,MN,,122.0
2013,SL_DOM_TSPD,M,ES211,MN,,127.0
2013,SL_DOM_TSPD,M,ES213,MN,,118.0
2023,SL_DOM_TSPD,M,ES213,MN,,135.0
2018,SL_DOM_TSPD,M,ES213,MN,,108.0
2013,SL_DOM_TSPD,M,ES212,MN,,113.0
2018,SL_DOM_TSPD,M,ES212,MN,,108.0
2023,SL_DOM_TSPD,M,ES212,MN,,125.0
2013,EU_SL_DOM_TSPD_RATIO,,,RO,1.8983050847457628,1.9
2023,EU_SL_DOM_TSPD_RATIO,,,RO,1.4615384615384617,1.5
2018,EU_SL_DOM_TSPD_RATIO,,,RO,1.9174311926605505,1.9
2018,EU_SL_DOM_TSPD_RATIO,,ES211,RO,1.9174311926605505,2.0
2023,EU_SL_DOM_TSPD_RATIO,,ES211,RO,1.4615384615384617,1.6
2013,EU_SL_DOM_TSPD_RATIO,,ES211,RO,1.8983050847457628,1.8
2023,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.4615384615384617,1.4
2013,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.8983050847457628,1.9
2018,EU_SL_DOM_TSPD_RATIO,,ES213,RO,1.9174311926605505,1.9
2023,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.4615384615384617,1.5
2013,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.8983050847457628,1.9
2018,EU_SL_DOM_TSPD_RATIO,,ES212,RO,1.9174311926605505,1.9
