Year,Ocupacion,Territorio,Units,Progress,Value
2018,CNO2011_1,,PT,64.2,35.8
2022,CNO2011_1,,PT,67.7,32.3
2021,CNO2011_1,,PT,67.7,32.3
2017,CNO2011_1,,PT,64.4,35.6
2015,CNO2011_1,,PT,63.3,36.7
2012,CNO2011_1,,PT,71.0,29.0
2011,CNO2011_1,,PT,68.3,31.7
2013,CNO2011_1,,PT,68.7,31.3
2019,CNO2011_1,,PT,65.7,34.3
2023,CNO2011_1,,PT,66.1,33.9
2024,CNO2011_1,,PT,65.5,34.5
2014,CNO2011_1,,PT,71.3,28.7
2010,CNO2011_1,,PT,71.2,28.8
2020,CNO2011_1,,PT,68.2,31.8
2016,CNO2011_1,,PT,65.3,34.7
2011,CNO2011_1,ES211,PT,74.2,25.8
2016,CNO2011_1,ES211,PT,72.4,27.6
2019,CNO2011_1,ES211,PT,71.6,28.4
2012,CNO2011_1,ES211,PT,75.2,24.8
2023,CNO2011_1,ES211,PT,63.5,36.5
2024,CNO2011_1,ES211,PT,62.4,37.6
2018,CNO2011_1,ES211,PT,60.6,39.4
2015,CNO2011_1,ES211,PT,64.8,35.2
2010,CNO2011_1,ES211,PT,71.6,28.4
2021,CNO2011_1,ES211,PT,71.2,28.8
2020,CNO2011_1,ES211,PT,73.0,27.0
2017,CNO2011_1,ES211,PT,63.8,36.2
2013,CNO2011_1,ES211,PT,70.7,29.3
2022,CNO2011_1,ES211,PT,68.7,31.3
2014,CNO2011_1,ES211,PT,73.5,26.5
2013,CNO2011_1,ES213,PT,69.4,30.6
2023,CNO2011_1,ES213,PT,64.3,35.7
2020,CNO2011_1,ES213,PT,68.5,31.5
2018,CNO2011_1,ES213,PT,64.5,35.5
2015,CNO2011_1,ES213,PT,62.9,37.1
2022,CNO2011_1,ES213,PT,65.5,34.5
2021,CNO2011_1,ES213,PT,69.8,30.2
2024,CNO2011_1,ES213,PT,66.4,33.6
2012,CNO2011_1,ES213,PT,70.6,29.4
2014,CNO2011_1,ES213,PT,73.2,26.8
2019,CNO2011_1,ES213,PT,64.7,35.3
2016,CNO2011_1,ES213,PT,65.3,34.7
2011,CNO2011_1,ES213,PT,66.8,33.2
2010,CNO2011_1,ES213,PT,69.6,30.4
2017,CNO2011_1,ES213,PT,64.5,35.5
2012,CNO2011_1,ES212,PT,69.6,30.4
2024,CNO2011_1,ES212,PT,65.2,34.8
2022,CNO2011_1,ES212,PT,70.2,29.8
2016,CNO2011_1,ES212,PT,61.4,38.6
2019,CNO2011_1,ES212,PT,65.3,34.7
2011,CNO2011_1,ES212,PT,69.0,31.0
2018,CNO2011_1,ES212,PT,65.0,35.0
