Year,Series,Territorio,Units,Progress,Value
2010,GEN_PARL,,PT,54.7,45.3
2014,GEN_PARL,,PT,50.7,49.3
2023,GEN_PARL,,PT,50.7,49.3
2016,GEN_PARL,,PT,53.3,53.3
2021,GEN_PARL,,PT,50.7,50.7
2024,GEN_PARL,,PT,52.0,52.0
2017,GEN_PARL,,PT,53.3,53.3
2011,GEN_PARL,,PT,54.7,45.3
2022,GEN_PARL,,PT,50.7,50.7
2015,GEN_PARL,,PT,50.7,49.3
2020,GEN_PARL,,PT,50.7,50.7
2012,GEN_PARL,,PT,50.7,49.3
2019,GEN_PARL,,PT,53.3,53.3
2025,GEN_PARL,,PT,53.3,53.3
2013,GEN_PARL,,PT,50.7,49.3
2018,GEN_PARL,,PT,53.3,53.3
2022,GEN_G,,PT,54.5,45.5
2013,GEN_G,,PT,50.0,50.0
2011,GEN_G,,PT,50.0,50.0
2025,GEN_G,,PT,53.3,46.7
2019,GEN_G,,PT,63.6,63.6
2014,GEN_G,,PT,50.0,50.0
2018,GEN_G,,PT,58.3,41.7
2017,GEN_G,,PT,58.3,41.7
2021,GEN_G,,PT,54.5,45.5
2020,GEN_G,,PT,54.5,45.5
2023,GEN_G,,PT,54.5,45.5
2012,GEN_G,,PT,50.0,50.0
2016,GEN_G,,PT,50.0,50.0
2024,GEN_G,,PT,53.3,46.7
2015,GEN_G,,PT,50.0,50.0
2010,GEN_G,,PT,54.5,45.5
2021,GEN_REGIOPARL,,PT,54.2,54.2
2018,GEN_REGIOPARL,,PT,51.9,48.1
2012,GEN_REGIOPARL,,PT,51.6,48.4
2015,GEN_REGIOPARL,,PT,51.9,48.1
2022,GEN_REGIOPARL,,PT,54.2,54.2
2014,GEN_REGIOPARL,,PT,51.6,48.4
2020,GEN_REGIOPARL,,PT,54.2,54.2
2016,GEN_REGIOPARL,,PT,51.9,48.1
2025,GEN_REGIOPARL,,PT,55.6,44.4
2013,GEN_REGIOPARL,,PT,51.6,48.4
2011,GEN_REGIOPARL,,PT,51.6,48.4
2024,GEN_REGIOPARL,,PT,51.6,48.4
2023,GEN_REGIOPARL,,PT,51.6,48.4
2010,GEN_REGIOPARL,,PT,58.8,41.2
2017,GEN_REGIOPARL,,PT,51.9,48.1
2019,GEN_REGIOPARL,,PT,54.2,54.2
2018,GEN_REGIOPARL,ES211,PT,54.9,45.1
2020,GEN_REGIOPARL,ES211,PT,56.9,56.9
2025,GEN_REGIOPARL,ES211,PT,56.9,43.1
2014,GEN_REGIOPARL,ES211,PT,51.0,51.0
2024,GEN_REGIOPARL,ES211,PT,56.8,43.2
2023,GEN_REGIOPARL,ES211,PT,56.8,43.2
2016,GEN_REGIOPARL,ES211,PT,54.9,45.1
2022,GEN_REGIOPARL,ES211,PT,56.9,56.9
2021,GEN_REGIOPARL,ES211,PT,56.9,56.9
