Year,Value,Units,Series
2022,10.4,GPERM3,EN_ATM_PM25
2024,8.4,GPERM3,EN_ATM_PM25
2018,9.9,GPERM3,EN_ATM_PM25
2014,9.2,GPERM3,EN_ATM_PM25
2015,10.1,GPERM3,EN_ATM_PM25
2011,11.1,GPERM3,EN_ATM_PM25
2010,11.3,GPERM3,EN_ATM_PM25
2012,10.1,GPERM3,EN_ATM_PM25
2023,9.5,GPERM3,EN_ATM_PM25
2017,9.8,GPERM3,EN_ATM_PM25
2021,10.0,GPERM3,EN_ATM_PM25
2016,8.6,GPERM3,EN_ATM_PM25
2020,8.8,GPERM3,EN_ATM_PM25
2019,9.0,GPERM3,EN_ATM_PM25
2013,10.5,GPERM3,EN_ATM_PM25
2010,24.2,GPERM3,EU_EN_ATM_PM10
2011,27.0,GPERM3,EU_EN_ATM_PM10
2012,26.7,GPERM3,EU_EN_ATM_PM10
2014,17.4,GPERM3,EU_EN_ATM_PM10
2015,17.9,GPERM3,EU_EN_ATM_PM10
2016,15.3,GPERM3,EU_EN_ATM_PM10
2013,15.9,GPERM3,EU_EN_ATM_PM10
2017,17.9,GPERM3,EU_EN_ATM_PM10
2021,16.1,GPERM3,EU_EN_ATM_PM10
2018,16.7,GPERM3,EU_EN_ATM_PM10
2019,16.3,GPERM3,EU_EN_ATM_PM10
2020,15.6,GPERM3,EU_EN_ATM_PM10
2022,17.7,GPERM3,EU_EN_ATM_PM10
2023,16.4,GPERM3,EU_EN_ATM_PM10
2024,14.6,GPERM3,EU_EN_ATM_PM10
