Year,Value,Units,Series,GeoCode,Progress
2019,102.16,PT,GF_XPD_GBPC,,102.16
2020,100.05,PT,GF_XPD_GBPC,,100.05
2017,97.87,PT,GF_XPD_GBPC,,102.13
2022,104.68,PT,GF_XPD_GBPC,,104.68
2021,102.22,PT,GF_XPD_GBPC,,102.22
2018,98.53,PT,GF_XPD_GBPC,,101.47
2023,101.1,PT,GF_XPD_GBPC,,101.1
2016,94.8,PT,GF_XPD_GBPC,,105.2
2023,103.31,PT,EU_XPD_LOCALGBPC,,103.31
2010,110.23,PT,EU_XPD_LOCALGBPC,,110.23
2016,97.37,PT,EU_XPD_LOCALGBPC,,102.63
2021,99.22,PT,EU_XPD_LOCALGBPC,,100.78
2017,96.78,PT,EU_XPD_LOCALGBPC,,103.22
2011,100.45,PT,EU_XPD_LOCALGBPC,,100.45
2020,93.84,PT,EU_XPD_LOCALGBPC,,106.16
2014,98.47,PT,EU_XPD_LOCALGBPC,,101.53
2022,100.26,PT,EU_XPD_LOCALGBPC,,100.26
2019,100.27,PT,EU_XPD_LOCALGBPC,,100.27
2015,98.05,PT,EU_XPD_LOCALGBPC,,101.95
2013,100.2,PT,EU_XPD_LOCALGBPC,,100.2
2012,93.03,PT,EU_XPD_LOCALGBPC,,106.97
2018,97.17,PT,EU_XPD_LOCALGBPC,,102.83
