Year,Value,Units,Series,Progress
2022,1.01,RO,SG_DMK_PARLMP_LC,1.01
2015,0.99,RO,SG_DMK_PARLMP_LC,1.01
2019,1.07,RO,SG_DMK_PARLMP_LC,1.07
2012,0.99,RO,SG_DMK_PARLMP_LC,1.01
2016,1.07,RO,SG_DMK_PARLMP_LC,1.07
2010,0.91,RO,SG_DMK_PARLMP_LC,1.09
2023,0.99,RO,SG_DMK_PARLMP_LC,1.01
2011,0.91,RO,SG_DMK_PARLMP_LC,1.09
2020,1.01,RO,SG_DMK_PARLMP_LC,1.01
2014,0.99,RO,SG_DMK_PARLMP_LC,1.01
2021,1.01,RO,SG_DMK_PARLMP_LC,1.01
2017,1.07,RO,SG_DMK_PARLMP_LC,1.07
2018,1.07,RO,SG_DMK_PARLMP_LC,1.07
2013,0.99,RO,SG_DMK_PARLMP_LC,1.01
2015,1.16,RO,SG_DMK_PSRVC,1.16
2013,1.15,RO,SG_DMK_PSRVC,1.15
2020,1.22,RO,SG_DMK_PSRVC,1.22
2023,1.29,RO,SG_DMK_PSRVC,1.29
2014,1.16,RO,SG_DMK_PSRVC,1.16
2019,1.21,RO,SG_DMK_PSRVC,1.21
2022,1.23,RO,SG_DMK_PSRVC,1.23
2018,1.16,RO,SG_DMK_PSRVC,1.16
2021,1.23,RO,SG_DMK_PSRVC,1.23
2011,1.12,RO,SG_DMK_PSRVC,1.12
2017,1.19,RO,SG_DMK_PSRVC,1.19
2016,1.17,RO,SG_DMK_PSRVC,1.17
2012,1.14,RO,SG_DMK_PSRVC,1.14
2024,1.3,RO,SG_DMK_PSRVC,1.3
2010,1.13,RO,SG_DMK_PSRVC,1.13
2024,1.25,RO,SG_DMK_JDC,1.25
2017,1.22,RO,SG_DMK_JDC,1.22
2020,1.24,RO,SG_DMK_JDC,1.24
2011,1.22,RO,SG_DMK_JDC,1.22
2018,1.21,RO,SG_DMK_JDC,1.21
2021,1.23,RO,SG_DMK_JDC,1.23
2015,1.24,RO,SG_DMK_JDC,1.24
2019,1.23,RO,SG_DMK_JDC,1.23
2016,1.2,RO,SG_DMK_JDC,1.2
2013,1.23,RO,SG_DMK_JDC,1.23
2022,1.2,RO,SG_DMK_JDC,1.2
2023,1.22,RO,SG_DMK_JDC,1.22
2012,1.17,RO,SG_DMK_JDC,1.17
2025,1.24,RO,SG_DMK_JDC,1.24
2014,1.23,RO,SG_DMK_JDC,1.23
2010,1.15,RO,SG_DMK_JDC,1.15
