Year,Value,Units,Series
2023,95.9,PT,SH_ACS_DTP3
2018,92.5,PT,SH_ACS_DTP3
2021,90.8,PT,SH_ACS_DTP3
2017,93.0,PT,SH_ACS_DTP3
2020,85.5,PT,SH_ACS_DTP3
2022,94.2,PT,SH_ACS_DTP3
2019,93.1,PT,SH_ACS_DTP3
2024,95.2,PT,SH_ACS_DTP3
2023,95.8,PT,SH_ACS_PCV3
2020,85.4,PT,SH_ACS_PCV3
2021,90.6,PT,SH_ACS_PCV3
2019,93.3,PT,SH_ACS_PCV3
2022,94.2,PT,SH_ACS_PCV3
2017,88.3,PT,SH_ACS_PCV3
2018,91.3,PT,SH_ACS_PCV3
2024,94.9,PT,SH_ACS_PCV3
2017,94.7,PT,SH_ACS_MCV2
2019,94.2,PT,SH_ACS_MCV2
2018,93.5,PT,SH_ACS_MCV2
2020,90.2,PT,SH_ACS_MCV2
2021,83.3,PT,SH_ACS_MCV2
2023,92.4,PT,SH_ACS_MCV2
2022,88.1,PT,SH_ACS_MCV2
2024,88.0,PT,SH_ACS_MCV2
2017,93.4,PT,SH_ACS_HPV
2018,92.6,PT,SH_ACS_HPV
2019,85.5,PT,SH_ACS_HPV
2020,88.5,PT,SH_ACS_HPV
2023,90.9,PT,SH_ACS_HPV
2021,69.1,PT,SH_ACS_HPV
2022,85.3,PT,SH_ACS_HPV
2024,91.8,PT,SH_ACS_HPV
