Year,Value,Units,Series
2010,100.0,PT,SE_ACS_ELECT
2011,100.0,PT,SE_ACS_ELECT
2025,100.0,PT,SE_ACS_ELECT
2022,100.0,PT,SE_ACS_ELECT
2018,100.0,PT,SE_ACS_ELECT
2014,100.0,PT,SE_ACS_ELECT
2016,100.0,PT,SE_ACS_ELECT
2013,100.0,PT,SE_ACS_ELECT
2012,100.0,PT,SE_ACS_ELECT
2024,100.0,PT,SE_ACS_ELECT
2017,100.0,PT,SE_ACS_ELECT
2023,100.0,PT,SE_ACS_ELECT
2021,100.0,PT,SE_ACS_ELECT
2020,100.0,PT,SE_ACS_ELECT
2019,100.0,PT,SE_ACS_ELECT
2015,100.0,PT,SE_ACS_ELECT
2011,100.0,PT,SE_ACS_INTNT
2013,100.0,PT,SE_ACS_INTNT
2016,100.0,PT,SE_ACS_INTNT
2019,99.9,PT,SE_ACS_INTNT
2021,99.9,PT,SE_ACS_INTNT
2017,100.0,PT,SE_ACS_INTNT
2014,100.0,PT,SE_ACS_INTNT
2012,100.0,PT,SE_ACS_INTNT
2010,100.0,PT,SE_ACS_INTNT
2023,99.9,PT,SE_ACS_INTNT
2015,100.0,PT,SE_ACS_INTNT
2013,100.0,PT,SE_ACS_SANIT
2012,100.0,PT,SE_ACS_SANIT
2021,100.0,PT,SE_ACS_SANIT
2010,100.0,PT,SE_ACS_SANIT
2018,100.0,PT,SE_ACS_SANIT
2016,100.0,PT,SE_ACS_SANIT
2015,100.0,PT,SE_ACS_SANIT
2014,100.0,PT,SE_ACS_SANIT
2017,100.0,PT,SE_ACS_SANIT
2019,100.0,PT,SE_ACS_SANIT
2025,100.0,PT,SE_ACS_SANIT
2020,100.0,PT,SE_ACS_SANIT
2022,100.0,PT,SE_ACS_SANIT
2011,100.0,PT,SE_ACS_SANIT
2023,100.0,PT,SE_ACS_SANIT
2024,100.0,PT,SE_ACS_SANIT
2014,100.0,PT,SE_ACS_H2O
2011,100.0,PT,SE_ACS_H2O
2010,100.0,PT,SE_ACS_H2O
2012,100.0,PT,SE_ACS_H2O
2024,100.0,PT,SE_ACS_H2O
2013,100.0,PT,SE_ACS_H2O
2016,100.0,PT,SE_ACS_H2O
2015,100.0,PT,SE_ACS_H2O
2020,100.0,PT,SE_ACS_H2O
2022,100.0,PT,SE_ACS_H2O
2017,100.0,PT,SE_ACS_H2O
2018,100.0,PT,SE_ACS_H2O
2019,100.0,PT,SE_ACS_H2O
2021,100.0,PT,SE_ACS_H2O
2023,100.0,PT,SE_ACS_H2O
2025,100.0,PT,SE_ACS_H2O
2010,100.0,PT,SE_ACS_HNDWSH
2011,100.0,PT,SE_ACS_HNDWSH
2014,100.0,PT,SE_ACS_HNDWSH
2012,100.0,PT,SE_ACS_HNDWSH
2013,100.0,PT,SE_ACS_HNDWSH
2015,100.0,PT,SE_ACS_HNDWSH
2016,100.0,PT,SE_ACS_HNDWSH
2024,100.0,PT,SE_ACS_HNDWSH
2020,100.0,PT,SE_ACS_HNDWSH
2017,100.0,PT,SE_ACS_HNDWSH
2018,100.0,PT,SE_ACS_HNDWSH
2019,100.0,PT,SE_ACS_HNDWSH
2021,100.0,PT,SE_ACS_HNDWSH
2022,100.0,PT,SE_ACS_HNDWSH
2023,100.0,PT,SE_ACS_HNDWSH
2025,100.0,PT,SE_ACS_HNDWSH
