Year,Value,Units,Series
2017,0.06,G_PER_GDP_EUR,EU_SDG_09_70_25
2018,0.06,G_PER_GDP_EUR,EU_SDG_09_70_25
2019,0.05,G_PER_GDP_EUR,EU_SDG_09_70_25
2012,0.08,G_PER_GDP_EUR,EU_SDG_09_70_25
2020,0.05,G_PER_GDP_EUR,EU_SDG_09_70_25
2014,0.08,G_PER_GDP_EUR,EU_SDG_09_70_25
2016,0.07,G_PER_GDP_EUR,EU_SDG_09_70_25
2022,0.05,G_PER_GDP_EUR,EU_SDG_09_70_25
2015,0.07,G_PER_GDP_EUR,EU_SDG_09_70_25
2021,0.05,G_PER_GDP_EUR,EU_SDG_09_70_25
2010,0.1,G_PER_GDP_EUR,EU_SDG_09_70_25
2013,0.08,G_PER_GDP_EUR,EU_SDG_09_70_25
2011,0.08,G_PER_GDP_EUR,EU_SDG_09_70_25
2023,0.05,G_PER_GDP_EUR,EU_SDG_09_70_25
2020,0.11,G_PER_GDP_EUR,EU_SDG_09_70_10
2017,0.13,G_PER_GDP_EUR,EU_SDG_09_70_10
2011,0.18,G_PER_GDP_EUR,EU_SDG_09_70_10
2010,0.2,G_PER_GDP_EUR,EU_SDG_09_70_10
2015,0.15,G_PER_GDP_EUR,EU_SDG_09_70_10
2022,0.12,G_PER_GDP_EUR,EU_SDG_09_70_10
2016,0.14,G_PER_GDP_EUR,EU_SDG_09_70_10
2018,0.16,G_PER_GDP_EUR,EU_SDG_09_70_10
2013,0.18,G_PER_GDP_EUR,EU_SDG_09_70_10
2012,0.16,G_PER_GDP_EUR,EU_SDG_09_70_10
2021,0.11,G_PER_GDP_EUR,EU_SDG_09_70_10
2019,0.14,G_PER_GDP_EUR,EU_SDG_09_70_10
2023,0.11,G_PER_GDP_EUR,EU_SDG_09_70_10
2014,0.18,G_PER_GDP_EUR,EU_SDG_09_70_10
