Value,Number of indicators
2025-04-22,3
2025-05-08,11
2025-06-06,1
2025-06-09,2
2025-06-11,1
2025-06-16,1
2025-06-17,1
2025-06-18,2
2025-06-19,1
2025-07-14,1
2025-07-17,5
2025-08-04,12
2025-08-14,8
2025-08-19,5
2025-09-08,1
2025-09-11,1
2025-09-17,1
2025-09-22,1
2025-09-25,1
2025-10-20,1
2025-10-21,3
2025-10-22,2
2025-10-24,2
2025-10-27,2
2025-10-28,3
2025-11-07,3
2025-11-10,1
2025-11-11,4
2025-11-24,1
2026-01-16,16
2026-01-20,1
2026-01-21,1
2026-04-20,1
2026-04-22,14
2026-05-12,2
2026-05-15,2
2026-05-18,2
2026-05-27,1
2026-06-01,2
2026-06-02,1
2026-06-04,1
2026-06-05,1
2026-06-09,4
2026-06-12,1
2026-06-25,1
2026-06-26,3
2026-07-21,1
2026-07-23,3
2026-08-28,1
2026-08-31,1
2026-09-01,1
2026-09-03,3
2026-09-07,1
2026-09-09,1
2026-09-10,2
2026-09-15,1
2026-09-16,6
2026-09-17,3
2026-09-18,2
